"item","max.factor","max.value"
"explor",5,-0.112044563750852
"follow",5,-0.104074723551466
"wikipedia",5,-0.101402196183108
"year",5,-0.091026140603554
"footag",5,-0.0769102949702463
"star",5,-0.0754589224583744
"includ",5,-0.0726474576136897
"american",5,-0.0720610811555883
"direct",5,-0.0717594134791303
"interview",5,-0.0689712990496235
"featur",5,-0.0686548629024138
"sport",5,-0.0665547668774625
"histori",5,-0.0661233239478419
"peopl",5,-0.0645318201593472
"filmmak",5,-0.0592852486204531
"one",5,-0.0578949534496589
"look",5,-0.0533353719478331
"first",5,-0.0531124490028628
"behind",5,-0.0524395379549074
"examin",5,-0.0521201592406026
"rise",5,-0.0484811456871817
"horror",5,-0.0481053205133441
"around",5,-0.0476496093293213
"reveal",5,-0.0474136668711693
"person",5,-0.0461210504154947
"journey",5,-0.0448325491127189
"natur",5,-0.0447651815840482
"career",5,-0.0447068764195092
"produc",5,-0.0447055143805617
"cultur",5,-0.0443116358734562
"celebr",5,-0.0408939660747626
"archiv",5,-0.0368252086654267
"icon",5,-0.0367526635602355
"scienc",5,-0.0367192377233587
"use",5,-0.0362414757517021
"event",5,-0.0349492423498794
"tell",5,-0.0339519849959616
"artist",5,-0.0337384492222608
"creat",5,-0.0334055636729884
"america",5,-0.0333792298454272
"share",5,-0.0332127498018915
"band",5,-0.0326867270692093
"chronicl",5,-0.0320336692396966
"director",5,-0.0319736916205172
"base",5,-0.0316631449621871
"experi",5,-0.0314565483110743
"impact",5,-0.0308866249073054
"member",5,-0.0298698106861037
"releas",5,-0.0297293863569811
"chang",5,-0.029593763734475
"episod",5,-0.0290623175820817
"tour",5,-0.0284008745008342
"origin",5,-0.028200670300794
"rock",5,-0.0277091559754092
"record",5,-0.0276390851078995
"player",5,-0.0274580164791255
"concert",5,-0.0272392303147862
"legendari",5,-0.026709692936398
"also",5,-0.0264221697299721
"focus",5,-0.0261595276702645
"actor",5,-0.0260735495875082
"state",5,-0.0254605347249133
"singer",5,-0.0252051324837684
"made",5,-0.0248506016800722
"nation",5,-0.0241980032329218
"present",5,-0.0241423193689403
"unit",5,-0.0235826970571469
"intim",5,-0.023536412977112
"play",5,-0.0234260531857313
"global",5,-0.0231443441516909
"decad",5,-0.0230327501759643
"classic",5,-0.0229709086383629
"captur",5,-0.0227483539297622
"written",5,-0.0226733927244678
"insid",5,-0.0225178851960365
"scene",5,-0.0225149530245619
"trace",5,-0.0224675034566806
"inspir",5,-0.0223641201722812
"rare",5,-0.0223335704165337
"discuss",5,-0.0220599768842092
"activist",5,-0.02198847121029
"offer",5,-0.0214752692510578
"game",5,-0.0214464390173734
"five",5,-0.021003147971748
"bring",5,-0.0207297241093402
"john",5,-0.0204877562920887
"four",5,-0.0204261243718242
"industri",5,-0.0204066134001035
"lgbtq",5,-0.0203371453110756
"success",5,-0.0203142696475864
"fan",5,-0.020181357255345
"document",5,-0.0201571008261773
"detail",5,-0.0200898664021368
"role",5,-0.0200648013781367
"musician",5,-0.0197810687098353
"execut",5,-0.0196460088929037
"polit",5,-0.0196156068187533
"communiti",5,-0.0195040613574296
"known",5,-0.0194810936174413
"cast",5,-0.0190072819840745
"book",5,-0.0189892110596643
"televis",5,-0.018949443074653
"mani",5,-0.0188667755959505
"video",5,-0.0188616941427965
"dramat",5,-0.0185760148797505
"fame",5,-0.0185045160518981
"charact",5,-0.0184907488767552
"black",5,-0.0184596098294482
"earli",5,-0.0183888262409002
"account",5,-0.0182488734195871
"provid",5,-0.0182204334572974
"social",5,-0.0179052772015416
"short",5,-0.0173937014735721
"insight",5,-0.0171342305944767
"shape",5,-0.0170576074412388
