Position,Points,Name,Known.For,Birth.Date,Wiki_Name
73,42916,Jamie Foxx,Ray,13/12/1967,Jamie_Foxx
74,42828,Anthony Hopkins,The Silence of the Lambs,31/12/1937,Anthony_Hopkins
75,42680,Chiwetel Ejiofor,12 Years a Slave,10/07/1977,Chiwetel_Ejiofor
76,42070,Will Smith,The Fresh Prince of Bel-Air,25/09/1968,Will_Smith
77,41906,Alan Rickman,Die Hard,21/02/1946,Alan_Rickman
78,41857,Geoffrey Rush,The King's Speech,06/07/1951,Geoffrey_Rush
79,41464,Joe Pesci,Goodfellas,09/02/1943,Joe_Pesci
80,41279,Brendan Gleeson,Calvary,29/03/1955,Brendan_Gleeson
81,41149,Mark Wahlberg,The Fighter,05/06/1971,Mark_Wahlberg
82,40666,Ethan Hawke,Training Day,06/11/1970,Ethan_Hawke
83,39805,John Goodman,10 Cloverfield Lane,20/06/1952,John_Goodman
84,39750,Max von Sydow,Flash Gordon,10/04/1929,Max_von_Sydow
85,39683,Christopher Lloyd,Back to the Future,22/10/1938,Christopher_Lloyd
86,39094,Christopher Plummer,Beginners,13/12/1929,Christopher_Plummer
87,38644,Benedict Cumberbatch,The Imitation Game,19/07/1976,Benedict_Cumberbatch
88,38601,Michael Shannon,Take Shelter,07/08/1974,Michael_Shannon
89,37963,Mykelti Williamson,Forrest Gump,04/03/1957,Mykelti_Williamson
90,37891,Robin Williams,Mrs. Doubtfire,21/07/1951,Robin_Williams
91,37869,Marlon Brando,Apocalypse Now,03/04/1924,Marlon_Brando
92,37869,Adrien Brody,The Pianist,14/04/1973,Adrien_Brody
93,37792,Paul Dano,There Will Be Blood,19/06/1984,Paul_Dano
94,37576,Stellan Skarsgård,Good Will Hunting,13/06/1951,Stellan_Skarsgård
95,37418,Don Cheadle,Crash,29/11/1964,Don_Cheadle
96,37218,Owen Wilson,The Royal Tenenbaums,18/11/1968,Owen_Wilson
97,37180,Daniel Brühl,Rush,16/06/1978,Daniel_Brühl
98,36780,Benicio Del Toro,Sicario,19/02/1967,Benicio_Del_Toro
99,36442,Jeremy Renner,The Hurt Locker,07/01/1971,Jeremy_Renner
100,36291,Harry Dean Stanton,Alien,14/07/1926,Harry_Dean_Stanton
101,36265,Robert Downey Jr.,Iron Man,04/04/1965,Robert_Downey_Jr.
102,36156,Aaron Eckhart,The Dark Knight,12/03/1968,Aaron_Eckhart
103,35670,Bruce Dern,Nebraska,04/06/1936,Bruce_Dern
104,35510,Richard Harris,Unforgiven,01/10/1930,Richard_Harris
105,35406,Zach Galifianakis,The Hangover,01/10/1969,Zach_Galifianakis
106,35387,Kyle Chandler,Super 8,17/09/1965,Kyle_Chandler
107,35216,Sam Rockwell,Moon,05/11/1968,Sam_Rockwell
108,34900,Colin Farrell,The Lobster,31/05/1976,Colin_Farrell
109,34838,Tom Sizemore,Saving Private Ryan,29/11/1961,Tom_Sizemore
110,34227,Jim Carrey,Eternal Sunshine of the Spotless Mind,17/01/1962,Jim_Carrey
111,34178,John Travolta,Pulp Fiction,18/02/1954,John_Travolta
112,34116,Elliott Gould,M*A*S*H,29/08/1938,Elliott_Gould
113,33688,Danny DeVito,Matilda,17/11/1944,Danny_DeVito
114,33663,Sean Connery,Dr. No,25/08/1930,Sean_Connery
115,33539,Javier Bardem,Skyfall,01/03/1969,Javier_Bardem
116,33362,Ewan McGregor,Moulin Rouge!,31/03/1971,Ewan_McGregor
117,33206,Mahershala Ali,House of Cards,16/02/1974,Mahershala_Ali
118,32827,Jonathan Pryce,The Two Popes,01/06/1947,Jonathan_Pryce
119,32696,John C. Reilly,Chicago,24/05/1965,John_C._Reilly
120,32491,Forest Whitaker,The Last King of Scotland,15/07/1961,Forest_Whitaker
121,32217,Josh Hutcherson,The Hunger Games,12/10/1992,Josh_Hutcherson
122,32083,Josh Brolin,Avengers: Endgame,12/02/1968,Josh_Brolin
123,31912,Sean Penn,Mystic River,17/08/1960,Sean_Penn
124,31471,Jonah Hill,21 Jump Street,20/12/1983,Jonah_Hill
125,31054,Mark Hamill,Star Wars,25/09/1951,Mark_Hamill
126,30854,Michael Stuhlbarg,A Serious Man,05/07/1968,Michael_Stuhlbarg
127,30841,Colin Firth,A Single Man,10/09/1960,Colin_Firth
128,30707,Jean Reno,Léon,30/07/1948,Jean_Reno
129,30704,Liam Hemsworth,The Hunger Games,13/01/1990,Liam_Hemsworth
130,30683,Matthew Modine,Full Metal Jacket,22/03/1959,Matthew_Modine
131,30471,Gary Sinise,Forrest Gump,17/03/1955,Gary_Sinise
132,30399,William H. Macy,Fargo,13/03/1950,William_H._Macy
133,30311,Jeffrey Wright,The French Dispatch,07/12/1965,Jeffrey_Wright
134,30256,Sterling Hayden,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,26/03/1916,Sterling_Hayden
135,29945,Hugh Jackman,Les Misérables,12/10/1968,Hugh_Jackman
