Position,Points,Name,Known.For,Birth.Date,Wiki_Name
362,9044,LaKeith Stanfield,Sorry to Bother You,12/08/1991,LaKeith_Stanfield
363,9028,Dermot Mulroney,My Best Friend's Wedding,31/10/1963,Dermot_Mulroney
364,8944,Theo James,Divergent,16/12/1984,Theo_James
365,8944,Ansel Elgort,The Fault in Our Stars,14/03/1994,Ansel_Elgort
366,8937,George MacKay,1917,13/03/1992,George_MacKay
367,8878,Sergi López,El laberinto del fauno,22/12/1965,Sergi_López
368,8843,Charlton Heston,Ben-Hur,04/10/1923,Charlton_Heston
369,8771,Rhys Ifans,The Amazing Spider-Man,22/07/1967,Rhys_Ifans
370,8727,Dennis Haysbert,Far from Heaven,02/06/1954,Dennis_Haysbert
371,8699,Alan Alda,M*A*S*H,28/01/1936,Alan_Alda
372,8633,Irrfan Khan,The Lunchbox,07/01/1967,Irrfan_Khan
373,8582,Timothy Hutton,Ordinary People,16/08/1960,Timothy_Hutton
374,8507,Christian Slater,Very Bad Things,18/08/1969,Christian_Slater
375,8308,John Gielgud,Arthur,14/04/1904,John_Gielgud
376,8154,Tom Hiddleston,The Avengers,09/02/1981,Tom_Hiddleston
377,8147,Moritz Bleibtreu,Knockin' on Heaven's Door,13/08/1971,Moritz_Bleibtreu
378,8056,Charlie Sheen,Two and a Half Men,03/09/1965,Charlie_Sheen
379,8054,Jonathan Rhys Meyers,Den 12. mann,27/07/1977,Jonathan_Rhys_Meyers
380,8045,Suraj Sharma,Life of Pi,21/03/1993,Suraj_Sharma
381,7929,John Savage,The Last Full Measure,,John_Savage
382,7920,Barry Keoghan,The Killing of a Sacred Deer,18/10/1992,Barry_Keoghan
383,7804,Ryan Reynolds,Deadpool 2,23/10/1976,Ryan_Reynolds
384,7790,Kiefer Sutherland,24,21/12/1966,Kiefer_Sutherland
385,7768,Conrad Veidt,Casablanca,1893-01-22,Conrad_Veidt
386,7660,Demián Bichir,The Hateful Eight,01/08/1963,Demián_Bichir
387,7631,Lucas Hedges,"Three Billboards Outside Ebbing, Missouri",12/12/1996,Lucas_Hedges
388,7592,Matthias Habich,Enemy at the Gates,12/01/1940,Matthias_Habich
389,7571,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,13/10/1971,Sacha_Baron_Cohen
390,7540,Joseph Fiennes,Shakespeare in Love,27/05/1970,Joseph_Fiennes
391,7394,Timothy Dalton,The Living Daylights,21/03/1946,Timothy_Dalton
392,7331,Adam Sandler,The Waterboy,09/09/1966,Adam_Sandler
393,7252,Mandy Patinkin,Homeland,30/11/1952,Mandy_Patinkin
394,7161,Ulrich Thomsen,Festen,06/12/1963,Ulrich_Thomsen
395,7153,Tómas Lemarquis,Blade Runner 2049,03/08/1977,Tómas_Lemarquis
396,7149,Donald Pleasence,Halloween II,05/10/1919,Donald_Pleasence
397,6994,Himesh Patel,Yesterday,13/10/1990,Himesh_Patel
398,6964,Isaach De Bankolé,Casino Royale,12/08/1957,Isaach_De_Bankolé
399,6962,Gerard Butler,300,13/11/1969,Gerard_Butler
400,6954,Rod Steiger,In the Heat of the Night,14/04/1925,Rod_Steiger
401,6931,Paul Henreid,Casablanca,10/01/1908,Paul_Henreid
402,6898,Aidan Quinn,Practical Magic,08/03/1959,Aidan_Quinn
403,6881,Jack Thompson,'Breaker' Morant,31/08/1940,Jack_Thompson
404,6872,Antonio Banderas,The Mask of Zorro,10/08/1960,Antonio_Banderas
405,6842,Fares Fares,Kvinden i buret,29/04/1973,Fares_Fares
406,6807,Justin Timberlake,Trolls,31/01/1981,Justin_Timberlake
407,6776,Logan Lerman,The Perks of Being a Wallflower,19/01/1992,Logan_Lerman
408,6716,Noah Segan,Knives Out,05/10/1983,Noah_Segan
409,6672,Ulrich Tukur,Das Leben der Anderen,29/07/1957,Ulrich_Tukur
410,6650,Tony Chiu-Wai Leung,Fa yeung nin wah,27/06/1962,Tony_Chiu-Wai_Leung
411,6601,Choi Min-sik,Oldeuboi,22/01/1962,Choi_Min-sik
412,6601,Yoo Ji-tae,Oldeuboi,13/04/1976,Yoo_Ji-tae
413,6581,Rami Malek,Bohemian Rhapsody,12/05/1981,Rami_Malek
414,6512,Pruitt Taylor Vince,Identity,05/07/1960,Pruitt_Taylor_Vince
415,6356,Rupert Friend,Hitman: Agent 47,01/10/1981,Rupert_Friend
416,6310,Bob Hoskins,The Long Good Friday,26/10/1942,Bob_Hoskins
417,6299,Steve McQueen,The Great Escape,24/03/1930,Steve_McQueen
418,6284,Song Kang-ho,Salinui chueok,17/01/1967,Song_Kang-ho
419,6211,Kevin Kline,Wild Wild West,24/10/1947,Kevin_Kline
420,6049,James Mason,Lolita,15/05/1909,James_Mason
421,5924,Rob Morgan,Mudbound,24/02/1973,Rob_Morgan
422,5924,Tyler Perry,Diary of a Mad Black Woman,14/09/1969,Tyler_Perry
423,5878,Ricardo Darín,El secreto de sus ojos,16/01/1957,Ricardo_Darín
424,5827,Anthony Quinn,Alexis Zorbas,21/04/1915,Anthony_Quinn
425,5808,Billy Crystal,Forget Paris,14/03/1948,Billy_Crystal
426,5768,Matthias Schoenaerts,De rouille et d'os,08/12/1977,Matthias_Schoenaerts
427,5737,Clark Gable,It Happened One Night,01/02/1901,Clark_Gable
428,5645,Gunnar Björnstrand,Det sjunde inseglet,13/11/1909,Gunnar_Björnstrand
429,5642,Lionel Barrymore,You Can't Take It with You,1878-04-28,Lionel_Barrymore
430,5601,Ulrich Mühe,Das Leben der Anderen,20/06/1953,Ulrich_Mühe
431,5592,River Phoenix,My Own Private Idaho,23/08/1970,River_Phoenix
432,5556,Aaron Taylor-Johnson,Nocturnal Animals,13/06/1990,Aaron_Taylor-Johnson
433,5509,Michael Pitt,The Dreamers,10/04/1981,Michael_Pitt
434,5503,Michael Lonsdale,The Day of the Jackal,24/05/1931,Michael_Lonsdale
435,5380,Eddie Murphy,The Nutty Professor,03/04/1961,Eddie_Murphy
436,5378,Marton Csokas,The Amazing Spider-Man 2,30/06/1966,Marton_Csokas
437,5354,Thomas Bo Larsen,Jagten,27/11/1963,Thomas_Bo_Larsen
438,5349,Gene Wilder,Willy Wonka & the Chocolate Factory,11/06/1933,Gene_Wilder
439,5293,James Spader,The Blacklist,07/02/1960,James_Spader
440,5245,Laurence Olivier,Sleuth,22/05/1907,Laurence_Olivier
441,5142,Ben Gazzara,Road House,28/08/1930,Ben_Gazzara
442,5118,Pilou Asbæk,Ghost in the Shell,02/03/1982,Pilou_Asbæk
443,5117,Riccardo Scamarcio,John Wick: Chapter 2,13/11/1979,Riccardo_Scamarcio
444,5077,David Kross,The Reader,04/07/1990,David_Kross
445,5069,Alden Ehrenreich,"Hail, Caesar!",22/11/1989,Alden_Ehrenreich
446,5068,Gian Maria Volontè,Per un pugno di dollari,09/04/1933,Gian_Maria_Volontè
447,5047,Macaulay Culkin,Home Alone,26/08/1980,Macaulay_Culkin
448,5045,Emilio Estevez,The Way,12/05/1962,Emilio_Estevez
449,5041,Robert Mitchum,Out of the Past,06/08/1917,Robert_Mitchum
450,5027,Martin Landau,Ed Wood,20/06/1928,Martin_Landau
451,5018,Jack Palance,Shane,18/02/1919,Jack_Palance
452,5018,Michael Ealy,Barbershop,03/08/1973,Michael_Ealy
453,4925,Cary Elwes,Saw,26/10/1962,Cary_Elwes
454,4925,Chris Sarandon,The Nightmare Before Christmas,24/07/1942,Chris_Sarandon
455,4843,Roger Moore,Moonraker,14/10/1927,Roger_Moore
456,4810,Taylor Kitsch,X-Men Origins: Wolverine,08/04/1981,Taylor_Kitsch
457,4794,James Coburn,Charade,31/08/1928,James_Coburn
458,4779,Karl Malden,On the Waterfront,22/03/1912,Karl_Malden
459,4764,Ben Foster,Hell or High Water,29/10/1980,Ben_Foster
460,4753,Peter Coyote,Bitter Moon,10/10/1941,Peter_Coyote
461,4734,Peter Fonda,Easy Rider,23/02/1940,Peter_Fonda
462,4689,Niels Arestrup,Un prophète,08/02/1949,Niels_Arestrup
463,4684,John Candy,"Planes, Trains & Automobiles",31/10/1950,John_Candy
464,4620,Shahab Hosseini,Forushande,03/02/1974,Shahab_Hosseini
465,4610,Heino Ferch,Der Untergang,18/08/1963,Heino_Ferch
466,4608,Anatoliy Solonitsyn,Stalker,30/08/1934,Anatoliy_Solonitsyn
467,4601,Steve Coogan,Philomena,14/10/1965,Steve_Coogan
468,4597,Fred MacMurray,Double Indemnity,30/08/1908,Fred_MacMurray
469,4558,Omar Sharif,Lawrence of Arabia,10/04/1932,Omar_Sharif
470,4538,Leslie Howard,Pygmalion,1893-04-03,Leslie_Howard
471,4533,Nikolaj Coster-Waldau,Game of Thrones,27/07/1970,Nikolaj_Coster-Waldau
472,4453,John Wayne,True Grit,26/05/1907,John_Wayne
473,4451,Ralph Macchio,The Karate Kid Part III,04/11/1961,Ralph_Macchio
474,4445,Charlie Hunnam,Sons of Anarchy,10/04/1980,Charlie_Hunnam
475,4400,Sebastian Stan,Captain America: The Winter Soldier,13/08/1982,Sebastian_Stan
476,4338,John David Washington,Tenet,28/07/1984,John_David_Washington
477,4310,Michael Cera,Scott Pilgrim vs. the World,07/06/1988,Michael_Cera
478,4310,Kieran Culkin,Succession,30/09/1982,Kieran_Culkin
479,4282,Kirk Douglas,Spartacus,09/12/1916,Kirk_Douglas
480,4256,Chow Yun-Fat,Wo hu cang long,18/05/1955,Chow_Yun-Fat
481,4194,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,16/07/1967,Will_Ferrell
482,4188,Burt Reynolds,Boogie Nights,11/02/1936,Burt_Reynolds
483,4108,Ulrich Matthes,Der Untergang,09/05/1959,Ulrich_Matthes
484,4108,Ulrich Noethen,Der Untergang,18/11/1959,Ulrich_Noethen
485,4093,Otto Sander,Der Himmel über Berlin,30/06/1941,Otto_Sander
486,4087,Merab Ninidze,McMafia,03/11/1965,Merab_Ninidze
487,4045,Rufus Sewell,Dark City,29/10/1967,Rufus_Sewell
488,4043,Michael York,Logan's Run,27/03/1942,Michael_York
489,4006,Dominic West,The Wire,15/10/1969,Dominic_West
490,3994,Robert Wagner,The Towering Inferno,10/02/1930,Robert_Wagner
491,3982,Ernest Borgnine,Marty,24/01/1917,Ernest_Borgnine
492,3980,Kyle MacLachlan,Twin Peaks,22/02/1959,Kyle_MacLachlan
493,3965,Ron Livingston,The Conjuring,05/06/1967,Ron_Livingston
494,3913,Trevante Rhodes,Moonlight,10/02/1990,Trevante_Rhodes
495,3902,Tom Hulce,Amadeus,06/12/1953,Tom_Hulce
496,3900,Ryan Phillippe,Gosford Park,10/09/1974,Ryan_Phillippe
497,3899,Stipe Erceg,Die fetten Jahre sind vorbei,30/10/1974,Stipe_Erceg
498,3898,Henry Cavill,Man of Steel,05/05/1983,Henry_Cavill
499,3885,Edward G. Robinson,Double Indemnity,1893-12-12,Edward_G._Robinson
500,3876,Sam Riley,Control,08/01/1980,Sam_Riley
501,3839,Beau Bridges,The Fabulous Baker Boys,09/12/1941,Beau_Bridges
502,3788,John Cassavetes,Love Streams,09/12/1929,John_Cassavetes
503,3774,Tony Curtis,Some Like It Hot,03/06/1925,Tony_Curtis
504,3774,George Raft,Some Like It Hot,26/09/1901,George_Raft
505,3678,Terence Stamp,The Limey,22/07/1938,Terence_Stamp
506,3636,Bud Cort,Harold and Maude,29/03/1948,Bud_Cort
507,3516,Chris O'Donnell,Batman & Robin,26/06/1970,Chris_O'Donnell
508,3480,Alexander Skarsgård,The Legend of Tarzan,25/08/1976,Alexander_Skarsgård
509,3440,Philippe Noiret,Nuovo Cinema Paradiso,01/10/1930,Philippe_Noiret
510,3439,Edgar Ramírez,Gold,25/03/1977,Edgar_Ramírez
511,3393,Jose Coronado,El cuerpo,14/08/1957,Jose_Coronado
512,3348,Richard Farnsworth,The Straight Story,01/09/1920,Richard_Farnsworth
513,3341,Gene Kelly,Singin' in the Rain,23/08/1912,Gene_Kelly
514,3341,Donald O'Connor,Singin' in the Rain,28/08/1925,Donald_O'Connor
515,3323,Daniel Olbrychski,Salt,27/02/1945,Daniel_Olbrychski
516,3323,August Diehl,Inglourious Basterds,04/01/1976,August_Diehl
517,3316,Nick Stahl,Sin City,05/12/1979,Nick_Stahl
518,3309,George Sanders,All About Eve,03/07/1906,George_Sanders
519,3291,Aamir Khan,Taare Zameen Par,14/03/1965,Aamir_Khan
520,3268,Farley Granger,Strangers on a Train,01/07/1925,Farley_Granger
521,3144,Charles Laughton,Witness for the Prosecution,1899-07-01,Charles_Laughton
522,3126,Ryan O'Neal,Love Story,20/04/1941,Ryan_O'Neal
523,3058,Dominic Cooper,The Devil's Double,02/06/1978,Dominic_Cooper
524,3038,George Kennedy,Cool Hand Luke,18/02/1925,George_Kennedy
525,3003,O'Shea Jackson Jr.,Straight Outta Compton,24/02/1991,O'Shea_Jackson_Jr.
526,3003,Corey Hawkins,Straight Outta Compton,22/10/1988,Corey_Hawkins
527,3003,Jason Mitchell,Straight Outta Compton,05/01/1987,Jason_Mitchell
528,3001,Zach Braff,Garden State,06/04/1975,Zach_Braff
529,2991,Leonardo Sbaraglia,Dolor y gloria,30/06/1970,Leonardo_Sbaraglia
530,2988,Gert Fröbe,Goldfinger,25/02/1913,Gert_Fröbe
531,2965,Trevor Howard,The Third Man,29/09/1913,Trevor_Howard
532,2963,Gustav Fröhlich,Metropolis,21/03/1902,Gustav_Fröhlich
533,2913,Brian Gleeson,Snow White and the Huntsman,14/11/1987,Brian_Gleeson
534,2891,Mickey Rooney,It's a Mad Mad Mad Mad World,23/09/1920,Mickey_Rooney
535,2827,Richard Burton,Who's Afraid of Virginia Woolf?,10/11/1925,Richard_Burton
536,2825,Charlie Hunnam,Sons of Anarchy,10/04/1980,Charlie_Hunnam
537,2804,Tom Holland,Spider-Man: Homecoming,01/06/1996,Tom_Holland
538,2800,Vittorio Gassman,Il sorpasso,01/09/1922,Vittorio_Gassman
539,2789,Sönke Möhring,Inglourious Basterds,12/10/1972,Sönke_Möhring
540,2788,Mike Myers,Austin Powers in Goldmember,25/05/1963,Mike_Myers
541,2778,Max Thieriot,The Pacifier,14/10/1988,Max_Thieriot
542,2745,Julian Sands,A Room with a View,04/01/1958,Julian_Sands
543,2704,Tatsuya Nakadai,Seppuku,13/12/1932,Tatsuya_Nakadai
544,2666,Adolphe Menjou,Paths of Glory,1890-02-18,Adolphe_Menjou
545,2656,Marcello Mastroianni,La dolce vita,28/09/1924,Marcello_Mastroianni
546,2653,Robert Ryan,The Wild Bunch,11/11/1909,Robert_Ryan
547,2641,Robert Hays,Airplane!,24/07/1947,Robert_Hays
548,2641,Leslie Nielsen,Airplane!,11/02/1926,Leslie_Nielsen
549,2582,Hardy Krüger,A Bridge Too Far,12/04/1928,Hardy_Krüger
550,2577,Jean-Louis Trintignant,Amour,11/12/1930,Jean-Louis_Trintignant
551,2571,Matthew Broderick,The Producers,21/03/1962,Matthew_Broderick
552,2514,Javier Cámara,Hable con ella,19/01/1967,Javier_Cámara
553,2509,Ray Milland,The Lost Weekend,03/01/1907,Ray_Milland
554,2492,Paul Bettany,WandaVision,27/05/1971,Paul_Bettany
555,2463,Gustaf Skarsgård,Vikings,12/11/1980,Gustaf_Skarsgård
556,2460,Mario Casas,Tres metros sobre el cielo,12/06/1986,Mario_Casas
557,2441,Patrick Dempsey,Grey's Anatomy,13/01/1966,Patrick_Dempsey
558,2428,Elyas M'Barek,Fack ju Göhte,29/05/1982,Elyas_M'Barek
559,2403,Jet Li,Huo Yuan Jia,26/04/1963,Jet_Li
560,2386,Simon Russell Beale,The Death of Stalin,12/01/1961,Simon_Russell_Beale
561,2382,George Peppard,Breakfast at Tiffany's,01/10/1928,George_Peppard
562,2366,Sidney Poitier,In the Heat of the Night,20/02/1927,Sidney_Poitier
563,2330,Eduardo Noriega,Vantage Point,01/08/1973,Eduardo_Noriega
564,2319,Fernando Cayo,El orfanato,22/04/1968,Fernando_Cayo
565,2310,Simon Helberg,The Big Bang Theory,09/12/1980,Simon_Helberg
566,2283,Yul Brynner,The King and I,11/07/1920,Yul_Brynner
567,2265,Jesse Plemons,The Irishman,02/04/1988,Jesse_Plemons
568,2254,Jean-Pierre Cassel,Murder on the Orient Express,27/10/1932,Jean-Pierre_Cassel
569,2250,Fele Martínez,Tesis,22/02/1975,Fele_Martínez
570,2245,Ha Jung-woo,Ah-ga-ssi,11/03/1978,Ha_Jung-woo
571,2214,Michael Gwisdek,Der Baader Meinhof Komplex,14/01/1942,Michael_Gwisdek
572,2207,Mikael Persbrandt,Hævnen,25/09/1963,Mikael_Persbrandt
573,2197,John Saxon,A Nightmare on Elm Street,05/08/1936,John_Saxon
574,2197,Robert Englund,A Nightmare on Elm Street,06/06/1947,Robert_Englund
575,2172,Walter Matthau,The Odd Couple,01/10/1920,Walter_Matthau
576,2155,Joel Grey,Cabaret,11/04/1932,Joel_Grey
577,2143,Jason Schwartzman,Rushmore,26/06/1980,Jason_Schwartzman
578,2118,Daniel Giménez Cacho,Blancanieves,15/05/1961,Daniel_Giménez_Cacho
579,2109,Peter Finch,Network,28/09/1916,Peter_Finch
580,2091,Sean Gullette,Pi,04/06/1968,Sean_Gullette
581,2089,Steve Martin,Roxanne,14/08/1945,Steve_Martin
582,2068,Dane Cook,Good Luck Chuck,18/03/1972,Dane_Cook
583,2067,Darren McGavin,A Christmas Story,07/05/1922,Darren_McGavin
584,2054,John Belushi,Saturday Night Live,24/01/1949,John_Belushi
585,2050,Robbie Coltrane,Cracker,30/03/1950,Robbie_Coltrane
586,2050,Ian Richardson,From Hell,07/04/1934,Ian_Richardson
587,2050,Jason Flemyng,The Curious Case of Benjamin Button,25/09/1966,Jason_Flemyng
588,2038,Taron Egerton,Kingsman: The Secret Service,10/11/1989,Taron_Egerton
589,2032,Pedro Pascal,The Mandalorian,02/04/1975,Pedro_Pascal
590,2022,Spencer Tracy,Judgment at Nuremberg,05/04/1900,Spencer_Tracy
591,2022,Tahar Rahim,Un prophète,04/07/1981,Tahar_Rahim
592,2012,Christopher Reeve,Superman,25/09/1952,Christopher_Reeve
593,1992,Robert Cummings,Dial M for Murder,09/06/1910,Robert_Cummings
594,1976,Alex Sharp,The Trial of the Chicago 7,02/02/1989,Alex_Sharp
595,1976,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,13/10/1971,Sacha_Baron_Cohen
596,1944,Tim Blake Nelson,The Ballad of Buster Scruggs,11/05/1964,Tim_Blake_Nelson
597,1932,Frederick Lau,Victoria,17/08/1989,Frederick_Lau
598,1911,Chazz Palminteri,The Usual Suspects,15/05/1952,Chazz_Palminteri
599,1911,Lillo Brancato,A Bronx Tale,30/03/1976,Lillo_Brancato
600,1905,Emory Cohen,Brooklyn,13/03/1990,Emory_Cohen
601,1886,Lee Marvin,Paint Your Wagon,19/02/1924,Lee_Marvin
602,1878,Ossie Davis,Do the Right Thing,18/12/1917,Ossie_Davis
603,1861,Kim Sang-kyung,Salinui chueok,01/06/1972,Kim_Sang-kyung
604,1861,Roe-ha Kim,Salinui chueok,15/11/1965,Roe-ha_Kim
605,1852,Anton Yelchin,Star Trek,11/03/1989,Anton_Yelchin
606,1841,Juan Minujín,The Two Popes,20/05/1975,Juan_Minujín
607,1823,Luke Evans,Dracula Untold,15/04/1979,Luke_Evans
608,1785,Thomas Turgoose,This Is England,11/02/1992,Thomas_Turgoose
609,1764,Robert Vaughn,The Magnificent Seven,22/11/1932,Robert_Vaughn
610,1757,Tom Schilling,Oh Boy,10/02/1982,Tom_Schilling
611,1740,Andy Lau,Mou gaan dou,27/09/1961,Andy_Lau
612,1734,Peter Weller,RoboCop,24/06/1947,Peter_Weller
613,1723,James Dean,East of Eden,08/02/1931,James_Dean
614,1723,Glen Hansard,Once,21/04/1970,Glen_Hansard
615,1722,Thomas Haden Church,Sideways,17/06/1960,Thomas_Haden_Church
616,1709,Timothy Bottoms,The Last Picture Show,30/08/1951,Timothy_Bottoms
617,1695,Tom Hiddleston,The Avengers,09/02/1981,Tom_Hiddleston
618,1683,Tim Curry,Congo,19/04/1946,Tim_Curry
619,1674,Bill Skarsgård,It,09/08/1990,Bill_Skarsgård
620,1668,Jerry Lewis,The Nutty Professor,16/03/1926,Jerry_Lewis
621,1657,Romain Duris,De battre mon coeur s'est arrêté,28/05/1974,Romain_Duris
622,1650,Tony Shalhoub,Monk,09/10/1953,Tony_Shalhoub
623,1637,Robert Walker,Strangers on a Train,13/10/1918,Robert_Walker
624,1632,Curd Jürgens,The Spy Who Loved Me,13/12/1915,Curd_Jürgens
625,1616,Peter Ustinov,Death on the Nile,16/04/1921,Peter_Ustinov
626,1612,Frank Sinatra,From Here to Eternity,12/12/1915,Frank_Sinatra
627,1600,Jackie Coogan,The Kid,26/10/1914,Jackie_Coogan
628,1580,Roddy Piper,They Live,17/04/1954,Roddy_Piper
629,1576,Jeffrey Hunter,The Searchers,25/11/1926,Jeffrey_Hunter
630,1573,Ralph Richardson,Doctor Zhivago,19/12/1902,Ralph_Richardson
631,1555,Walter Huston,The Treasure of the Sierra Madre,1883-04-05,Walter_Huston
632,1551,Burt Lancaster,From Here to Eternity,02/11/1913,Burt_Lancaster
633,1551,Montgomery Clift,From Here to Eternity,17/10/1920,Montgomery_Clift
634,1541,Telly Savalas,Kojak,21/01/1922,Telly_Savalas
635,1537,Idris Elba,Beasts of No Nation,06/09/1972,Idris_Elba
636,1528,Tyrone Power,Witness for the Prosecution,05/05/1914,Tyrone_Power
637,1526,Predrag 'Miki' Manojlovic,Underground,05/04/1950,Predrag_'Miki'_Manojlovic
638,1524,Maximilian Schell,Judgment at Nuremberg,08/12/1930,Maximilian_Schell
639,1496,Boris Karloff,Bride of Frankenstein,1887-11-23,Boris_Karloff
640,1493,Vincent D'Onofrio,Men in Black,30/06/1959,Vincent_D'Onofrio
641,1493,Jon Bernthal,The Wolf of Wall Street,20/09/1976,Jon_Bernthal
642,1490,Greg Wise,Sense and Sensibility,15/05/1966,Greg_Wise
643,1489,Buster Keaton,The General,1895-10-04,Buster_Keaton
644,1484,Fernando Rey,Tristana,20/09/1917,Fernando_Rey
645,1469,Chadwick Boseman,Black Panther,29/11/1976,Chadwick_Boseman
646,1450,Sam Waterston,The Killing Fields,15/11/1940,Sam_Waterston
647,1446,Richard Widmark,Kiss of Death,26/12/1914,Richard_Widmark
648,1427,Topol,Fiddler on the Roof,09/09/1935,Topol
649,1426,Delroy Lindo,Get Shorty,18/11/1952,Delroy_Lindo
650,1413,Raymond Massey,Arsenic and Old Lace,1896-08-30,Raymond_Massey
651,1392,Dana Andrews,Laura,01/01/1909,Dana_Andrews
652,1390,Kumail Nanjiani,The Big Sick,02/05/1978,Kumail_Nanjiani
653,1389,Gary Cooper,High Noon,07/05/1901,Gary_Cooper
654,1389,Fernando Fernán Gómez,El abuelo,28/08/1921,Fernando_Fernán_Gómez
655,1386,Klaus Kinski,Nosferatu: Phantom der Nacht,18/10/1926,Klaus_Kinski
656,1370,Louis Gossett Jr.,An Officer and a Gentleman,27/05/1936,Louis_Gossett_Jr.
657,1370,Shah Rukh Khan,Don 2,02/11/1965,Shah_Rukh_Khan
658,1367,Paul Walter Hauser,"I, Tonya",15/10/1986,Paul_Walter_Hauser
659,1365,Jack Carson,Cat on a Hot Tin Roof,27/10/1910,Jack_Carson
660,1365,John Gallagher Jr.,10 Cloverfield Lane,17/06/1984,John_Gallagher_Jr.
661,1344,Paddy Considine,Dead Man's Shoes,05/09/1973,Paddy_Considine
662,1332,Jürgen Vogel,Die Welle,29/04/1968,Jürgen_Vogel
663,1332,Max Riemelt,Napola - Elite für den Führer,07/01/1984,Max_Riemelt
664,1330,Warren Beatty,Reds,30/03/1937,Warren_Beatty
665,1317,Kevin McCarthy,Invasion of the Body Snatchers,15/02/1914,Kevin_McCarthy
666,1306,Ken Foree,Dawn of the Dead,29/02/1948,Ken_Foree
667,1305,Sebastian Urzendowsky,The Way Back,28/05/1985,Sebastian_Urzendowsky
668,1299,Jean-Pierre Léaud,Les quatre cents coups,28/05/1944,Jean-Pierre_Léaud
669,1298,Max Schreck,"Nosferatu, eine Symphonie des Grauens",1879-09-06,Max_Schreck
670,1287,Marwan Kenzari,Aladdin,16/01/1983,Marwan_Kenzari
671,1280,Judd Hirsch,Independence Day,15/03/1935,Judd_Hirsch
672,1237,Donatas Banionis,Solyaris,28/04/1924,Donatas_Banionis
673,1228,David Niven,Murder by Death,01/03/1910,David_Niven
674,1222,Bruce Campbell,Bubba Ho-Tep,22/06/1958,Bruce_Campbell
675,1222,Dan Hicks,Darkman,19/07/1951,Dan_Hicks
676,1219,Edward Arnold,You Can't Take It with You,1890-02-18,Edward_Arnold
677,1219,Kris Kristofferson,Blade,22/06/1936,Kris_Kristofferson
678,1214,Christopher Lambert,Mortal Kombat,29/03/1957,Christopher_Lambert
679,1200,Michael B. Jordan,Black Panther,09/02/1987,Michael_B._Jordan
680,1175,George Segal,Who's Afraid of Virginia Woolf?,13/02/1934,George_Segal
681,1156,Om Puri,East Is East,18/10/1950,Om_Puri
682,1156,Manish Dayal,The Hundred-Foot Journey,17/06/1983,Manish_Dayal
683,1147,Charlie Plummer,Looking for Alaska,24/05/1999,Charlie_Plummer
684,1143,Kodi Smit-McPhee,Let Me In,13/06/1996,Kodi_Smit-McPhee
685,1137,Rupert Everett,My Best Friend's Wedding,29/05/1959,Rupert_Everett
686,1123,James Norton,Little Women,18/07/1985,James_Norton
687,1122,Burl Ives,The Big Country,14/06/1909,Burl_Ives
688,1111,Matthew Rhys,A Beautiful Day in the Neighborhood,08/11/1974,Matthew_Rhys
689,1105,Michael Beck,The Warriors,04/02/1949,Michael_Beck
690,1102,Leo Fitzpatrick,Kids,10/08/1978,Leo_Fitzpatrick
691,1102,Justin Pierce,Kids,21/03/1975,Justin_Pierce
692,1093,Oskar Werner,Jules et Jim,13/11/1922,Oskar_Werner
693,1085,Robin de Jesus,"tick, tick...BOOM!",21/08/1984,Robin_de_Jesus
694,1082,Gaspard Ulliel,Un long dimanche de fiançailles,25/11/1984,Gaspard_Ulliel
695,1081,Dominique Pinon,Delicatessen,04/03/1955,Dominique_Pinon
696,1078,Dennis Dun,Big Trouble in Little China,19/04/1952,Dennis_Dun
697,1075,John Corbett,My Big Fat Greek Wedding,09/05/1961,John_Corbett
698,1073,Toni Servillo,La grande bellezza,25/01/1959,Toni_Servillo
699,1059,Dan Stevens,Downton Abbey,10/10/1982,Dan_Stevens
700,1054,Larry David,Curb Your Enthusiasm,02/07/1947,Larry_David
701,1039,Melvyn Douglas,Being There,05/04/1901,Melvyn_Douglas
702,1030,Daniel Auteuil,Caché,24/01/1950,Daniel_Auteuil
703,1027,John Lone,The Last Emperor,13/10/1952,John_Lone
704,1026,Nate Parker,The Birth of a Nation,18/11/1979,Nate_Parker
705,1026,Denzel Whitaker,The Great Debaters,15/06/1990,Denzel_Whitaker
706,1011,Guillaume Canet,Jeux d'enfants,10/04/1973,Guillaume_Canet
707,984,Laurence Harvey,The Manchurian Candidate,01/10/1928,Laurence_Harvey
708,979,Paul Rudd,Ant-Man,06/04/1969,Paul_Rudd
709,979,Craig Roberts,Submarine,21/01/1991,Craig_Roberts
710,975,Jean-Paul Belmondo,Pierrot le fou,09/04/1933,Jean-Paul_Belmondo
711,975,Rex Harrison,My Fair Lady,05/03/1908,Rex_Harrison
712,974,James Earl Jones,Rogue One,17/01/1931,James_Earl_Jones
713,972,Steve Martin,Roxanne,14/08/1945,Steve_Martin
714,967,Louis Garrel,The Dreamers,14/06/1983,Louis_Garrel
715,964,Brad Davis,Midnight Express,06/11/1949,Brad_Davis
716,959,Matthew Fox,Bone Tomahawk,14/07/1966,Matthew_Fox
717,955,Paul Meurisse,Les diaboliques,21/12/1912,Paul_Meurisse
