"Position","Const","Created","Modified","Description","Name","Known.For","Birth.Date","rank_category"
391,"nm0567620","2018-07-12","2019-01-31","1955 points","John Michael McDonagh","The Guard","","top 500"
392,"nm0001353","2018-06-12","2018-06-14","1935 points","Walter Hill","48 Hrs.","1942-01-10","top 500"
393,"nm0781842","2018-07-06","2018-07-06","1910 points","Peter Segal","Get Smart","","top 500"
394,"nm0141961","2021-06-29","2021-06-29","1901 points","Thomas Carter","Coach Carter","1953-07-17","top 500"
395,"nm0908824","2021-07-14","2021-07-14","1893 points","Randall Wallace","We Were Soldiers","1949-07-28","top 500"
396,"nm0231596","2018-07-05","2018-07-05","1892 points","Andrew Dominik","Chopper","1967-10-07","top 500"
397,"nm0002339","2018-07-08","2018-07-08","1891 points","Allen Coulter","Remember Me","","top 500"
398,"nm0179221","2018-07-06","2018-07-12","1889 points","Anton Corbijn","Control","1955-05-20","top 500"
399,"nm0158966","2018-07-08","2018-07-08","1889 points","Lisa Cholodenko","The Kids Are All Right","1964-06-05","top 500"
400,"nm0000824","2018-06-11","2018-06-16","1885 points","John Badham","WarGames","1939-08-25","top 500"
401,"nm0000694","2018-06-16","2019-01-27","1883 points","Wim Wenders","Der Himmel über Berlin","1945-08-14","top 500"
402,"nm0001093","2018-06-28","2018-06-28","1875 points","John Dahl","Kill Me Again","","top 500"
403,"nm0335138","2018-07-08","2018-07-08","1862 points","Debra Granik","Leave No Trace","1963-02-06","top 500"
404,"nm0111845","2018-07-06","2018-07-06","1854 points","Adam Brooks","Definitely, Maybe","1956-09-03","top 500"
405,"nm0444244","2018-07-11","2018-07-11","1824 points","Abdellatif Kechiche","La vie d'Adèle","1960-12-07","top 500"
406,"nm0002030","2018-05-21","2018-05-31","1808 points","George Cukor","My Fair Lady","1899-07-07","top 500"
407,"nm0788234","2018-07-06","2018-07-06","1808 points","John Patrick Shanley","Moonstruck","1950-10-03","top 500"
408,"nm0001603","2018-06-03","2018-06-05","1807 points","Sam Peckinpah","The Wild Bunch","1925-02-21","top 500"
409,"nm1104118","2018-07-02","2018-07-03","1804 points","Kim Ki-duk","Bin-jip","1960-12-20","top 500"
410,"nm0000958","2018-06-06","2021-02-07","1802 points","John Boorman","Hope and Glory","1933-01-18","top 500"
411,"nm1140275","2018-07-11","2018-07-11","1798 points","Steven Knight","Locke","","top 500"
412,"nm0625458","2018-06-30","2018-06-30","1796 points","Jessie Nelson","I Am Sam","1955-06-02","top 500"
413,"nm0001508","2018-06-23","2019-07-11","1778 points","Penny Marshall","Laverne & Shirley","1943-10-15","top 500"
414,"nm0193508","2018-07-09","2018-07-13","1777 points","Simon Curtis","Goodbye Christopher Robin","1960-03-11","top 500"
415,"nm0001401","2018-07-29","2018-07-29","1767 points","Angelina Jolie","Girl, Interrupted","1975-06-04","top 500"
416,"nm0000914","2018-06-12","2018-06-12","1760 points","Robert Benton","Kramer vs. Kramer","1932-09-29","top 500"
417,"nm0490487","2018-07-01","2018-07-01","1740 points","Andrew Lau","Mou gaan dou","1960-04-04","top 500"
418,"nm0773603","2018-07-05","2018-07-05","1731 points","Julian Schnabel","Before Night Falls","1951-10-26","top 500"
419,"nm0174374","2018-07-04","2022-04-26","1727 points","Bill Condon","Dreamgirls","1955-10-22","top 500"
420,"nm3232264","2022-11-12","2022-11-12","1726 points","Reinaldo Marcus Green","King Richard","","top 500"
421,"nm0920274","2018-07-08","2018-07-11","1708 points","John Wells","The Company Men","1956-05-28","top 500"
422,"nm0420941","2018-07-02","2018-07-02","1702 points","Patty Jenkins","Wonder Woman","1971-07-24","top 500"
423,"nm1290515","2021-05-25","2021-05-25","1674 points","Antonio Campos","The Staircase","1983-08-24","top 500"
424,"nm2947553","2019-04-04","2022-04-02","1655 points","Na Hong-jin","Chugyeokja","","top 500"
425,"nm0389591","2018-06-28","2020-05-24","1653 points","P.J. Hogan","Muriel's Wedding","1962-11-30","top 500"
426,"nm0000736","2018-05-31","2018-06-01","1648 points","Robert Aldrich","Emperor of the North Pole","1918-08-09","top 500"
427,"nm0300866","2018-07-03","2018-07-03","1632 points","Stephen Gaghan","Syriana","1965-05-06","top 500"
428,"nm0193485","2018-07-07","2018-07-07","1614 points","Richard Curtis","Love Actually","1956-11-08","top 500"
429,"nm0959062","2018-06-30","2018-06-30","1603 points","Terry Zwigoff","Ghost World","1949-05-18","top 500"
430,"nm0187769","2018-06-20","2018-06-20","1598 points","Charles Crichton","A Fish Called Wanda","1910-08-06","top 500"
431,"nm0181902","2018-06-24","2018-06-24","1597 points","George P. Cosmatos","Rambo: First Blood Part II","1941-01-04","top 500"
432,"nm0167241","2018-05-27","2018-05-28","1594 points","Henri-Georges Clouzot","Le salaire de la peur","1907-11-20","top 500"
433,"nm0423646","2018-06-16","2021-01-01","1585 points","Roland Joffé","The Mission","1945-11-17","top 500"
434,"nm0405632","2018-07-03","2020-12-02","1566 points","Mikael Håfström","Ondskan","1960-07-01","top 500"
435,"nm1725469","2021-08-30","2021-08-30","1553 points","Florian Zeller","The Father","1979-06-28","top 500"
436,"nm0935095","2018-07-03","2018-07-03","1545 points","Gary Winick","Tadpole","1961-03-31","top 500"
437,"nm0655683","2018-07-05","2018-07-05","1529 points","José Padilha","Tropa de Elite 2: O Inimigo Agora é Outro","1967-08-01","top 500"
438,"nm0001843","2018-05-18","2018-05-20","1496 points","James Whale","The Invisible Man","1889-07-22","top 500"
439,"nm0001214","2018-06-26","2018-06-26","1493 points","Mike Figgis","Leaving Las Vegas","1948-02-28","top 500"
440,"nm3519173","2022-02-09","2022-02-09","1493 points","Nora Fingscheidt","Systemsprenger","","top 500"
441,"nm0001915","2018-11-14","2018-11-14","1492 points","Emile Ardolino","Dirty Dancing","1943-05-09","top 500"
442,"nm0438090","2018-07-09","2018-07-13","1491 points","Asif Kapadia","Senna","","top 500"
443,"nm0000036","2018-05-17","2021-04-16","1489 points","Buster Keaton","The General","1895-10-04","top 500"
444,"nm0792202","2018-07-05","2018-07-05","1489 points","Kirsten Sheridan","In America","1976-07-14","top 500"
445,"nm0322144","2018-07-12","2018-07-12","1483 points","Richard Glatzer","Still Alice","1952-01-28","top 500"
446,"nm0863387","2018-06-30","2018-06-30","1482 points","George Tillman Jr.","The Hate U Give","1969-01-26","top 500"
447,"nm0802248","2018-07-04","2018-07-04","1465 points","Tarsem Singh","The Fall","1961-05-26","top 500"
448,"nm0003088","2018-06-26","2018-06-26","1436 points","Chris Noonan","Babe","1952-11-14","top 500"
449,"nm0000776","2018-06-29","2018-06-29","1425 points","Michael Apted","Rome","1941-02-10","top 500"
450,"nm0758574","2018-07-03","2018-07-03","1413 points","Walter Salles","Central do Brasil","1956-04-12","top 500"
451,"nm0001408","2019-04-10","2019-04-10","1408 points","Shekhar Kapur","Elizabeth","1945-12-06","top 500"
452,"nm0795290","2018-07-14","2018-07-14","1390 points","Michael Showalter","Wet Hot American Summer","1970-06-17","top 500"
453,"nm0600546","2018-06-28","2018-07-01","1372 points","Lukas Moodysson","Fucking Åmål","1969-01-17","top 500"
454,"nm0424103","2018-07-09","2018-07-09","1370 points","Karan Johar","Kuch Kuch Hota Hai","1972-05-25","top 500"
455,"nm0412465","2018-06-16","2018-06-24","1364 points","James Ivory","Call Me by Your Name","1928-06-07","top 500"
456,"nm0695937","2018-05-22","2018-05-30","1361 points","Otto Preminger","Anatomy of a Murder","1905-12-05","top 500"
457,"nm0304541","2018-07-07","2018-07-07","1332 points","Dennis Gansel","Die Welle","1973-10-04","top 500"
458,"nm0671957","2018-06-01","2018-06-01","1330 points","Arthur Penn","Bonnie and Clyde","1922-09-27","top 500"
459,"nm0788940","2018-06-10","2018-06-10","1327 points","Jim Sharman","The Rocky Horror Picture Show","1945-03-12","top 500"
460,"nm1041597","2018-07-03","2018-07-03","1318 points","Morgan Spurlock","Super Size Me","1970-11-07","top 500"
461,"nm0192845","2018-07-04","2018-07-04","1295 points","John Curran","Chappaquiddick","1960-09-11","top 500"
462,"nm0001452","2018-05-28","2018-05-28","1289 points","Charles Laughton","Witness for the Prosecution","1899-07-01","top 500"
463,"nm2482088","2020-03-02","2020-03-02","1287 points","Tommy Wirkola","What Happened to Monday","1979-12-06","top 500"
464,"nm0516360","2018-07-04","2018-07-14","1284 points","Ken Loach","I, Daniel Blake","1936-06-17","top 500"
465,"nm0082802","2018-07-05","2018-07-05","1282 points","Mike Binder","The Comedy Store","","top 500"
466,"nm0004303","2018-07-06","2021-05-01","1273 points","Gavin Hood","Tsotsi","1963-05-12","top 500"
467,"nm0001226","2018-06-24","2018-06-24","1264 points","James Foley","At Close Range","1953-12-28","top 500"
468,"nm0001410","2018-06-26","2022-03-10","1255 points","Lawrence Kasdan","The Big Chill","1949-01-14","top 500"
469,"nm0357453","2018-07-03","2018-07-03","1252 points","John Hamburg","Little Fockers","1970-05-26","top 500"
470,"nm0000750","2018-06-29","2018-07-02","1248 points","Jon Amiel","Copycat","1948-05-20","top 500"
471,"nm0001403","2018-06-24","2018-07-06","1243 points","Neil Jordan","The Crying Game","1950-02-25","top 500"
472,"nm0048918","2019-04-20","2019-04-20","1242 points","Sean Baker","Tangerine","","top 500"
473,"nm0332950","2018-07-01","2018-07-01","1229 points","Ashutosh Gowariker","Swades: We, the People","1964-02-15","top 500"
474,"nm0149446","2018-07-01","2018-07-01","1228 points","Gurinder Chadha","Bend It Like Beckham","1960-01-10","top 500"
475,"nm1148550","2018-07-12","2018-07-12","1221 points","Ava DuVernay","Queen Sugar","1972-08-24","top 500"
476,"nm0562266","2018-07-03","2018-07-03","1219 points","John Maybury","Love Is the Devil: Study for a Portrait of Francis Bacon","","top 500"
477,"nm0611683","2018-06-17","2018-06-17","1214 points","Russell Mulcahy","Highlander","1953-06-23","top 500"
478,"nm0000915","2018-06-22","2018-06-22","1207 points","Bruce Beresford","Driving Miss Daisy","1940-08-16","top 500"
479,"nm0000671","2019-01-15","2019-01-15","1207 points","Billy Bob Thornton","Sling Blade","1955-08-04","top 500"
480,"nm0381416","2018-07-07","2018-07-07","1207 points","Grant Heslov","Argo","1963-05-15","top 500"
481,"nm0264236","2018-07-04","2018-07-04","1202 points","Richard Eyre","Notes on a Scandal","1943-03-28","top 500"
482,"nm3363032","2021-06-24","2021-06-24","1200 points","Ryan Coogler","Black Panther","1986-05-23","top 500"
483,"nm0911910","2018-06-28","2018-06-28","1193 points","Vincent Ward","The Navigator: A Mediaeval Odyssey","1956-02-16","top 500"
484,"nm2277869","2018-07-06","2018-07-06","1189 points","Marjane Satrapi","Persepolis","1969-11-22","top 500"
485,"nm1749112","2018-07-06","2018-07-06","1189 points","Vincent Paronnaud","Persepolis","","top 500"
486,"nm0499724","2021-03-20","2021-03-20","1181 points","Michael Lehmann","Hudson Hawk","1957-03-30","top 500"
487,"nm0149491","2018-07-07","2018-07-07","1178 points","Justin Chadwick","Mandela: Long Walk to Freedom","1968-12-01","top 500"
488,"nm1547964","2018-07-08","2018-07-08","1173 points","Richard Ayoade","Submarine","1977-05-23","top 500"
489,"nm0000454","2018-06-03","2019-03-20","1171 points","Dennis Hopper","Easy Rider","1936-05-17","top 500"
490,"nm0015359","2018-07-03","2018-07-08","1167 points","Fatih Akin","Aus dem Nichts","1973-08-25","top 500"
491,"nm0671210","2019-04-17","2019-04-17","1161 points","Mark Pellington","Arlington Road","1962-03-17","top 500"
492,"nm0196860","2018-07-06","2018-07-06","1160 points","Olivier Dahan","La Môme","1967-06-26","top 500"
493,"nm1022455","2018-07-10","2018-07-10","1158 points","Benh Zeitlin","Beasts of the Southern Wild","1982-10-14","top 500"
