Position,Points,Name,Known.For,Birth.Date
482,4188,Burt Reynolds,Boogie Nights,11/02/1936
483,4108,Ulrich Matthes,Der Untergang,09/05/1959
484,4108,Ulrich Noethen,Der Untergang,18/11/1959
485,4093,Otto Sander,Der Himmel über Berlin,30/06/1941
486,4087,Merab Ninidze,McMafia,03/11/1965
487,4045,Rufus Sewell,Dark City,29/10/1967
488,4043,Michael York,Logan's Run,27/03/1942
489,4006,Dominic West,The Wire,15/10/1969
490,3994,Robert Wagner,The Towering Inferno,10/02/1930
491,3982,Ernest Borgnine,Marty,24/01/1917
492,3980,Kyle MacLachlan,Twin Peaks,22/02/1959
493,3965,Ron Livingston,The Conjuring,05/06/1967
494,3913,Trevante Rhodes,Moonlight,10/02/1990
495,3902,Tom Hulce,Amadeus,06/12/1953
496,3900,Ryan Phillippe,Gosford Park,10/09/1974
497,3899,Stipe Erceg,Die fetten Jahre sind vorbei,30/10/1974
498,3898,Henry Cavill,Man of Steel,05/05/1983
499,3885,Edward G. Robinson,Double Indemnity,1893-12-12
500,3876,Sam Riley,Control,08/01/1980
501,3839,Beau Bridges,The Fabulous Baker Boys,09/12/1941
502,3788,John Cassavetes,Love Streams,09/12/1929
503,3774,Tony Curtis,Some Like It Hot,03/06/1925
504,3774,George Raft,Some Like It Hot,26/09/1901
505,3678,Terence Stamp,The Limey,22/07/1938
506,3636,Bud Cort,Harold and Maude,29/03/1948
507,3516,Chris O'Donnell,Batman & Robin,26/06/1970
508,3480,Alexander Skarsgård,The Legend of Tarzan,25/08/1976
509,3440,Philippe Noiret,Nuovo Cinema Paradiso,01/10/1930
510,3439,Edgar Ramírez,Gold,25/03/1977
511,3393,Jose Coronado,El cuerpo,14/08/1957
512,3348,Richard Farnsworth,The Straight Story,01/09/1920
513,3341,Gene Kelly,Singin' in the Rain,23/08/1912
514,3341,Donald O'Connor,Singin' in the Rain,28/08/1925
515,3323,Daniel Olbrychski,Salt,27/02/1945
516,3323,August Diehl,Inglourious Basterds,04/01/1976
517,3316,Nick Stahl,Sin City,05/12/1979
518,3309,George Sanders,All About Eve,03/07/1906
519,3291,Aamir Khan,Taare Zameen Par,14/03/1965
520,3268,Farley Granger,Strangers on a Train,01/07/1925
521,3144,Charles Laughton,Witness for the Prosecution,1899-07-01
522,3126,Ryan O'Neal,Love Story,20/04/1941
523,3058,Dominic Cooper,The Devil's Double,02/06/1978
524,3038,George Kennedy,Cool Hand Luke,18/02/1925
525,3003,O'Shea Jackson Jr.,Straight Outta Compton,24/02/1991
526,3003,Corey Hawkins,Straight Outta Compton,22/10/1988
527,3003,Jason Mitchell,Straight Outta Compton,05/01/1987
528,3001,Zach Braff,Garden State,06/04/1975
529,2991,Leonardo Sbaraglia,Dolor y gloria,30/06/1970
530,2988,Gert Fröbe,Goldfinger,25/02/1913
531,2965,Trevor Howard,The Third Man,29/09/1913
532,2963,Gustav Fröhlich,Metropolis,21/03/1902
533,2913,Brian Gleeson,Snow White and the Huntsman,14/11/1987
534,2891,Mickey Rooney,It's a Mad Mad Mad Mad World,23/09/1920
535,2827,Richard Burton,Who's Afraid of Virginia Woolf?,10/11/1925
536,2825,Charlie Hunnam,Sons of Anarchy,10/04/1980
537,2804,Tom Holland,Spider-Man: Homecoming,01/06/1996
538,2800,Vittorio Gassman,Il sorpasso,01/09/1922
539,2789,Sönke Möhring,Inglourious Basterds,12/10/1972
540,2788,Mike Myers,Austin Powers in Goldmember,25/05/1963
541,2778,Max Thieriot,The Pacifier,14/10/1988
542,2745,Julian Sands,A Room with a View,04/01/1958
543,2704,Tatsuya Nakadai,Seppuku,13/12/1932
544,2666,Adolphe Menjou,Paths of Glory,1890-02-18
545,2656,Marcello Mastroianni,La dolce vita,28/09/1924
546,2653,Robert Ryan,The Wild Bunch,11/11/1909
547,2641,Robert Hays,Airplane!,24/07/1947
548,2641,Leslie Nielsen,Airplane!,11/02/1926
549,2582,Hardy Krüger,A Bridge Too Far,12/04/1928
550,2577,Jean-Louis Trintignant,Amour,11/12/1930
551,2571,Matthew Broderick,The Producers,21/03/1962
552,2514,Javier Cámara,Hable con ella,19/01/1967
553,2509,Ray Milland,The Lost Weekend,03/01/1907
554,2492,Paul Bettany,WandaVision,27/05/1971
555,2463,Gustaf Skarsgård,Vikings,12/11/1980
556,2460,Mario Casas,Tres metros sobre el cielo,12/06/1986
557,2441,Patrick Dempsey,Grey's Anatomy,13/01/1966
558,2428,Elyas M'Barek,Fack ju Göhte,29/05/1982
559,2403,Jet Li,Huo Yuan Jia,26/04/1963
560,2386,Simon Russell Beale,The Death of Stalin,12/01/1961
561,2382,George Peppard,Breakfast at Tiffany's,01/10/1928
562,2366,Sidney Poitier,In the Heat of the Night,20/02/1927
563,2330,Eduardo Noriega,Vantage Point,01/08/1973
564,2319,Fernando Cayo,El orfanato,22/04/1968
565,2310,Simon Helberg,The Big Bang Theory,09/12/1980
566,2283,Yul Brynner,The King and I,11/07/1920
567,2265,Jesse Plemons,The Irishman,02/04/1988
568,2254,Jean-Pierre Cassel,Murder on the Orient Express,27/10/1932
569,2250,Fele Martínez,Tesis,22/02/1975
570,2245,Ha Jung-woo,Ah-ga-ssi,11/03/1978
571,2214,Michael Gwisdek,Der Baader Meinhof Komplex,14/01/1942
572,2207,Mikael Persbrandt,Hævnen,25/09/1963
573,2197,John Saxon,A Nightmare on Elm Street,05/08/1936
574,2197,Robert Englund,A Nightmare on Elm Street,06/06/1947
575,2172,Walter Matthau,The Odd Couple,01/10/1920
576,2155,Joel Grey,Cabaret,11/04/1932
577,2143,Jason Schwartzman,Rushmore,26/06/1980
578,2118,Daniel Giménez Cacho,Blancanieves,15/05/1961
579,2109,Peter Finch,Network,28/09/1916
580,2091,Sean Gullette,Pi,04/06/1968
581,2089,Steve Martin,Roxanne,14/08/1945
582,2068,Dane Cook,Good Luck Chuck,18/03/1972
583,2067,Darren McGavin,A Christmas Story,07/05/1922
584,2054,John Belushi,Saturday Night Live,24/01/1949
585,2050,Robbie Coltrane,Cracker,30/03/1950
586,2050,Ian Richardson,From Hell,07/04/1934
587,2050,Jason Flemyng,The Curious Case of Benjamin Button,25/09/1966
588,2038,Taron Egerton,Kingsman: The Secret Service,10/11/1989
589,2032,Pedro Pascal,The Mandalorian,02/04/1975
590,2022,Spencer Tracy,Judgment at Nuremberg,05/04/1900
591,2022,Tahar Rahim,Un prophète,04/07/1981
592,2012,Christopher Reeve,Superman,25/09/1952
593,1992,Robert Cummings,Dial M for Murder,09/06/1910
594,1976,Alex Sharp,The Trial of the Chicago 7,02/02/1989
595,1976,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,13/10/1971
596,1944,Tim Blake Nelson,The Ballad of Buster Scruggs,11/05/1964
597,1932,Frederick Lau,Victoria,17/08/1989
598,1911,Chazz Palminteri,The Usual Suspects,15/05/1952
599,1911,Lillo Brancato,A Bronx Tale,30/03/1976
600,1905,Emory Cohen,Brooklyn,13/03/1990
601,1886,Lee Marvin,Paint Your Wagon,19/02/1924
602,1878,Ossie Davis,Do the Right Thing,18/12/1917
603,1861,Kim Sang-kyung,Salinui chueok,01/06/1972
604,1861,Roe-ha Kim,Salinui chueok,15/11/1965
605,1852,Anton Yelchin,Star Trek,11/03/1989
606,1841,Juan Minujín,The Two Popes,20/05/1975
607,1823,Luke Evans,Dracula Untold,15/04/1979
608,1785,Thomas Turgoose,This Is England,11/02/1992
609,1764,Robert Vaughn,The Magnificent Seven,22/11/1932
610,1757,Tom Schilling,Oh Boy,10/02/1982
611,1740,Andy Lau,Mou gaan dou,27/09/1961
612,1734,Peter Weller,RoboCop,24/06/1947
613,1723,James Dean,East of Eden,08/02/1931
614,1723,Glen Hansard,Once,21/04/1970
615,1722,Thomas Haden Church,Sideways,17/06/1960
616,1709,Timothy Bottoms,The Last Picture Show,30/08/1951
617,1695,Tom Hiddleston,The Avengers,09/02/1981
618,1683,Tim Curry,Congo,19/04/1946
619,1674,Bill Skarsgård,It,09/08/1990
620,1668,Jerry Lewis,The Nutty Professor,16/03/1926
621,1657,Romain Duris,De battre mon coeur s'est arrêté,28/05/1974
622,1650,Tony Shalhoub,Monk,09/10/1953
623,1637,Robert Walker,Strangers on a Train,13/10/1918
624,1632,Curd Jürgens,The Spy Who Loved Me,13/12/1915
625,1616,Peter Ustinov,Death on the Nile,16/04/1921
626,1612,Frank Sinatra,From Here to Eternity,12/12/1915
627,1600,Jackie Coogan,The Kid,26/10/1914
628,1580,Roddy Piper,They Live,17/04/1954
629,1576,Jeffrey Hunter,The Searchers,25/11/1926
630,1573,Ralph Richardson,Doctor Zhivago,19/12/1902
631,1555,Walter Huston,The Treasure of the Sierra Madre,1883-04-05
632,1551,Burt Lancaster,From Here to Eternity,02/11/1913
633,1551,Montgomery Clift,From Here to Eternity,17/10/1920
634,1541,Telly Savalas,Kojak,21/01/1922
635,1537,Idris Elba,Beasts of No Nation,06/09/1972
636,1528,Tyrone Power,Witness for the Prosecution,05/05/1914
637,1526,Predrag 'Miki' Manojlovic,Underground,05/04/1950
638,1524,Maximilian Schell,Judgment at Nuremberg,08/12/1930
639,1496,Boris Karloff,Bride of Frankenstein,1887-11-23
640,1493,Vincent D'Onofrio,Men in Black,30/06/1959
641,1493,Jon Bernthal,The Wolf of Wall Street,20/09/1976
642,1490,Greg Wise,Sense and Sensibility,15/05/1966
643,1489,Buster Keaton,The General,1895-10-04
644,1484,Fernando Rey,Tristana,20/09/1917
645,1469,Chadwick Boseman,Black Panther,29/11/1976
646,1450,Sam Waterston,The Killing Fields,15/11/1940
647,1446,Richard Widmark,Kiss of Death,26/12/1914
648,1427,Topol,Fiddler on the Roof,09/09/1935
649,1426,Delroy Lindo,Get Shorty,18/11/1952
650,1413,Raymond Massey,Arsenic and Old Lace,1896-08-30
651,1392,Dana Andrews,Laura,01/01/1909
652,1390,Kumail Nanjiani,The Big Sick,02/05/1978
653,1389,Gary Cooper,High Noon,07/05/1901
654,1389,Fernando Fernán Gómez,El abuelo,28/08/1921
655,1386,Klaus Kinski,Nosferatu: Phantom der Nacht,18/10/1926
656,1370,Louis Gossett Jr.,An Officer and a Gentleman,27/05/1936
657,1370,Shah Rukh Khan,Don 2,02/11/1965
658,1367,Paul Walter Hauser,"I, Tonya",15/10/1986
659,1365,Jack Carson,Cat on a Hot Tin Roof,27/10/1910
660,1365,John Gallagher Jr.,10 Cloverfield Lane,17/06/1984
661,1344,Paddy Considine,Dead Man's Shoes,05/09/1973
662,1332,Jürgen Vogel,Die Welle,29/04/1968
663,1332,Max Riemelt,Napola - Elite für den Führer,07/01/1984
664,1330,Warren Beatty,Reds,30/03/1937
665,1317,Kevin McCarthy,Invasion of the Body Snatchers,15/02/1914
666,1306,Ken Foree,Dawn of the Dead,29/02/1948
667,1305,Sebastian Urzendowsky,The Way Back,28/05/1985
668,1299,Jean-Pierre Léaud,Les quatre cents coups,28/05/1944
669,1298,Max Schreck,"Nosferatu, eine Symphonie des Grauens",1879-09-06
670,1287,Marwan Kenzari,Aladdin,16/01/1983
671,1280,Judd Hirsch,Independence Day,15/03/1935
672,1237,Donatas Banionis,Solyaris,28/04/1924
673,1228,David Niven,Murder by Death,01/03/1910
674,1222,Bruce Campbell,Bubba Ho-Tep,22/06/1958
675,1222,Dan Hicks,Darkman,19/07/1951
676,1219,Edward Arnold,You Can't Take It with You,1890-02-18
677,1219,Kris Kristofferson,Blade,22/06/1936
678,1214,Christopher Lambert,Mortal Kombat,29/03/1957
679,1200,Michael B. Jordan,Black Panther,09/02/1987
680,1175,George Segal,Who's Afraid of Virginia Woolf?,13/02/1934
681,1156,Om Puri,East Is East,18/10/1950
682,1156,Manish Dayal,The Hundred-Foot Journey,17/06/1983
683,1147,Charlie Plummer,Looking for Alaska,24/05/1999
684,1143,Kodi Smit-McPhee,Let Me In,13/06/1996
685,1137,Rupert Everett,My Best Friend's Wedding,29/05/1959
686,1123,James Norton,Little Women,18/07/1985
687,1122,Burl Ives,The Big Country,14/06/1909
688,1111,Matthew Rhys,A Beautiful Day in the Neighborhood,08/11/1974
689,1105,Michael Beck,The Warriors,04/02/1949
690,1102,Leo Fitzpatrick,Kids,10/08/1978
691,1102,Justin Pierce,Kids,21/03/1975
692,1093,Oskar Werner,Jules et Jim,13/11/1922
693,1085,Robin de Jesus,"tick, tick...BOOM!",21/08/1984
694,1082,Gaspard Ulliel,Un long dimanche de fiançailles,25/11/1984
695,1081,Dominique Pinon,Delicatessen,04/03/1955
696,1078,Dennis Dun,Big Trouble in Little China,19/04/1952
697,1075,John Corbett,My Big Fat Greek Wedding,09/05/1961
698,1073,Toni Servillo,La grande bellezza,25/01/1959
699,1059,Dan Stevens,Downton Abbey,10/10/1982
700,1054,Larry David,Curb Your Enthusiasm,02/07/1947
701,1039,Melvyn Douglas,Being There,05/04/1901
702,1030,Daniel Auteuil,Caché,24/01/1950
703,1027,John Lone,The Last Emperor,13/10/1952
704,1026,Nate Parker,The Birth of a Nation,18/11/1979
705,1026,Denzel Whitaker,The Great Debaters,15/06/1990
706,1011,Guillaume Canet,Jeux d'enfants,10/04/1973
707,984,Laurence Harvey,The Manchurian Candidate,01/10/1928
708,979,Paul Rudd,Ant-Man,06/04/1969
709,979,Craig Roberts,Submarine,21/01/1991
710,975,Jean-Paul Belmondo,Pierrot le fou,09/04/1933
711,975,Rex Harrison,My Fair Lady,05/03/1908
712,974,James Earl Jones,Rogue One,17/01/1931
713,972,Steve Martin,Roxanne,14/08/1945
714,967,Louis Garrel,The Dreamers,14/06/1983
715,964,Brad Davis,Midnight Express,06/11/1949
716,959,Matthew Fox,Bone Tomahawk,14/07/1966
717,955,Paul Meurisse,Les diaboliques,21/12/1912
718,945,Lily Franky,Manbiki kazoku,04/11/1963
719,933,Hugo Silva,El cuerpo,10/05/1977
720,927,Jim Brown,Mars Attacks!,17/02/1936
721,927,Rob Morrow,Northern Exposure,21/09/1962
722,926,Jun Kunimura,Kill Bill: Vol. 1,16/11/1955
723,921,Richard Basehart,Moby Dick,31/08/1914
724,908,Adarsh Gourav,The White Tiger,08/07/1994
725,908,Rajkummar Rao,Shahid,31/08/1984
726,906,Michael B. Jordan,Black Panther,09/02/1987
727,900,Federico Luppi,Cronos,23/02/1934
728,894,Luis Tosar,Celda 211,13/10/1971
729,889,Lazar Ristovski,Underground,26/10/1952
730,884,Giuseppe Battiston,Perfetti sconosciuti,22/07/1968
731,884,Marco Giallini,Perfetti sconosciuti,04/04/1963
732,877,Lew Ayres,Holiday,28/12/1908
733,871,William Baldwin,Backdraft,21/02/1963
734,869,Peter Falk,Columbo,16/09/1927
735,862,Stephan James,Race,16/12/1993
736,862,Taylor Kitsch,X-Men Origins: Wolverine,08/04/1981
737,861,Klaus Maria Brandauer,Out of Africa,22/06/1943
738,860,Tom Courtenay,45 Years,25/02/1937
739,860,William Petersen,CSI: Crime Scene Investigation,21/02/1953
740,840,Nigel Hawthorne,The Madness of King George,05/04/1929
741,837,Werner Krauss,Das Cabinet des Dr. Caligari,1884-06-23
742,830,Aras Bulut Iynemli,Çukur,25/08/1990
743,828,James Frecheville,Black '47,03/05/1991
744,819,Jonathan Majors,Lovecraft Country,07/09/1989
745,818,Dean Martin,The Dean Martin Show,07/06/1917
746,817,Ulrich Mühe,Das Leben der Anderen,20/06/1953
747,814,Yutaka Matsushige,Shinobi,19/01/1963
748,808,Fredric March,Dr. Jekyll and Mr. Hyde,1897-08-31
749,808,George O'Brien,Sunrise: A Song of Two Humans,1899-04-19
750,799,Samuel Le Bihan,Le pacte des loups,02/11/1965
751,799,Jérémie Renier,In Bruges,06/01/1981
752,792,Paul Scofield,A Man for All Seasons,21/01/1922
753,789,Dennis Weaver,Touch of Evil,04/06/1924
754,785,Gastón Pauls,Nueve reinas,17/01/1972
755,760,Zbigniew Zamachowski,Trois couleurs: Blanc,17/07/1961
756,760,Janusz Gajos,Trois couleurs: Blanc,23/09/1939
757,760,Jerzy Stuhr,Historie milosne,18/04/1947
758,756,Udo Kier,Hunters,
759,738,Bruce Davison,X-Men,28/06/1946
760,738,Fred Ward,Short Cuts,30/12/1942
761,738,Chris Penn,Reservoir Dogs,10/10/1965
762,738,Peter Gallagher,American Beauty,19/08/1955
763,732,Helmut Griem,Cabaret,06/04/1932
764,730,Jean Rochefort,L'homme du train,29/04/1930
765,729,Kim Yoon-seok,Chugyeokja,21/01/1968
766,728,Herbert Lom,The Pink Panther Strikes Again,11/09/1917
767,727,Hidetoshi Nishijima,Doraibu mai kâ,29/03/1971
768,714,Antoine Olivier Pilon,Mommy,23/06/1997
769,713,David Warner,Star Trek VI: The Undiscovered Country,29/07/1941
770,711,Chishû Ryû,Tôkyô monogatari,13/05/1904
771,709,David Keith,An Officer and a Gentleman,08/05/1954
772,706,The Marx Brothers,Duck Soup,
773,700,Paul Hogan,Crocodile Dundee,08/10/1939
774,695,Jakob Cedergren,Den skyldige,10/01/1973
775,695,Hee Jae,Bin-jip,25/05/1980
776,683,Michael Rennie,The Day the Earth Stood Still,25/08/1909
777,682,Sam Claflin,The Hunger Games: Catching Fire,27/06/1986
778,676,Jason Mitchell,Straight Outta Compton,05/01/1987
779,658,Chino Darín,Muerte en Buenos Aires,14/01/1989
780,658,Javier Gutiérrez,La isla mínima,17/01/1971
781,658,Álvaro Morte,La casa de papel,23/02/1975
782,646,John Hannah,Four Weddings and a Funeral,23/04/1962
783,646,John Lynch,Black Death,26/12/1961
784,645,Hayden Christensen,Star Wars: Episode III - Revenge of the Sith,19/04/1981
785,640,Michael Redgrave,The Lady Vanishes,20/03/1908
786,639,Yves Montand,Jean de Florette,13/10/1921
787,635,Birol Ünel,Gegen die Wand,18/08/1961
788,635,Kevin Zegers,Transamerica,19/09/1984
789,629,David Duchovny,The X Files,07/08/1960
790,627,Louis Jourdan,Gigi,19/06/1921
791,625,Anthony Quayle,Lawrence of Arabia,07/09/1913
792,616,Johan Heldenbergh,The Broken Circle Breakdown,11/05/1967
793,612,Robert Donat,The 39 Steps,18/03/1905
794,607,Jonathan Majors,Lovecraft Country,07/09/1989
795,607,Tadanobu Asano,Mongol,27/11/1973
796,603,Stuart Whitman,The Comancheros,01/02/1928
797,601,Dirk Bogarde,The Servant,28/03/1921
798,600,Max Irons,Condor,17/10/1985
799,600,Franz Rogowski,Transit,02/02/1986
800,598,Bela Lugosi,Dracula,1882-10-20
801,595,Andreas Wilson,Ondskan,07/03/1981
802,595,Henrik Lundström,Bron/Broen,13/12/1983
803,593,Vincent Gallo,Buffalo '66,11/04/1961
804,589,Errol Flynn,The Adventures of Robin Hood,20/06/1909
805,589,Basil Rathbone,The Adventures of Robin Hood,1892-06-13
806,589,Claes Bang,The Square,28/04/1967
807,589,Kim Kap-su,"Janghwa, Hongryeon",07/04/1957
808,588,Alain Delon,Le Samouraï,08/11/1935
809,584,Clifton Webb,Laura,1889-11-19
810,584,Vincent Price,The Abominable Dr. Phibes,27/05/1911
811,584,Karra Elejalde,Los cronocrímenes,10/10/1960
812,581,Cliff Robertson,Spider-Man,09/09/1923
813,572,Mikkel Boe Følsgaard,En kongelig affære,01/05/1984
814,571,Dawid Ogrodnik,Cicha noc,15/06/1986
815,570,Matthew Davis,Legally Blonde,08/05/1978
816,564,Michel Piccoli,Le mépris,27/12/1925
817,563,Pål Sverre Hagen,Kon-Tiki,06/11/1980
818,563,Anders Baasmo,Kon-Tiki,29/01/1976
819,560,Wotan Wilke Möhring,Pandorum,23/05/1967
820,558,Jamie Dornan,The Fall,01/05/1982
821,557,Paul Mescal,Aftersun,02/02/1996
822,554,Harry Belafonte,Bobby,01/03/1927
823,546,Thierry Lhermitte,Le dîner de cons,24/11/1952
824,546,Jacques Villeret,Le dîner de cons,06/02/1951
825,544,Jon Finch,Frenzy,02/03/1942
826,538,Nigel Terry,Excalibur,15/08/1945
827,536,Jean-Marc Barr,Le grand bleu,27/09/1960
828,536,Tom Payne,Prodigal Son,21/12/1982
829,536,Olivier Martinez,Unfaithful,12/01/1966
830,533,Peter Simonischek,Toni Erdmann,06/08/1946
831,531,Lars Eidinger,Clouds of Sils Maria,21/01/1976
832,527,Asier Etxeandia,Dolor y gloria,27/06/1975
833,522,Matt Smith,Doctor Who,28/10/1982
834,515,Edmund Gwenn,Miracle on 34th Street,1877-09-26
835,515,John Payne,Miracle on 34th Street,28/05/1912
836,508,Richie Merritt,White Boy Rick,
837,507,Oliver Masucci,Fantastic Beasts: The Secrets of Dumbledore,06/12/1968
838,507,Christoph Maria Herbst,Stromberg,09/02/1966
839,504,Raf Vallone,The Italian Job,17/02/1916
840,502,Jan Josef Liefers,Tatort,08/08/1964
1,70488,Jennifer Lawrence,The Hunger Games,15/08/1990
2,64117,Natalie Portman,Black Swan,09/06/1981
3,63550,Julianne Moore,Far from Heaven,03/12/1960
4,57521,Robin Wright,Beowulf,08/04/1966
5,57412,Cate Blanchett,Carol,14/05/1969
6,56731,Anne Hathaway,Les Misérables,12/11/1982
7,55581,Kate Winslet,Titanic,05/10/1975
8,54709,Talia Shire,Rocky,25/04/1946
9,52796,Diane Keaton,Annie Hall,05/01/1946
10,52174,Léa Seydoux,La vie d'Adèle,01/07/1985
11,50689,Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,26/03/1985
12,50584,Uma Thurman,Kill Bill: Vol. 1,29/04/1970
13,49295,Marion Cotillard,La Môme,30/09/1975
14,48093,Scarlett Johansson,Lost in Translation,22/11/1984
15,47837,Jessica Chastain,Zero Dark Thirty,24/03/1977
16,47662,Amy Adams,Arrival,20/08/1974
17,47201,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,26/05/1966
18,44087,Vera Farmiga,Up in the Air,06/08/1973
19,43263,Meryl Streep,Out of Africa,22/06/1949
20,42826,Jodie Foster,The Silence of the Lambs,19/11/1962
21,42054,Tilda Swinton,We Need to Talk About Kevin,05/11/1960
22,41787,Maggie Gyllenhaal,Secretary,16/11/1977
23,39829,Sandra Bullock,The Proposal,26/07/1964
24,39032,Gwyneth Paltrow,Shakespeare in Love,27/09/1972
25,38115,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",23/06/1957
26,37977,Winona Ryder,Little Women,29/10/1971
27,37156,Sigourney Weaver,Avatar,08/10/1949
28,36874,Carrie-Anne Moss,The Matrix,21/08/1967
29,36855,Toni Collette,About a Boy,01/11/1972
30,36564,Jennifer Connelly,A Beautiful Mind,12/12/1970
31,36468,Judi Dench,Skyfall,09/12/1934
32,35247,Julia Roberts,Pretty Woman,28/10/1967
33,34656,Melissa Leo,The Fighter,14/09/1960
34,34017,Carrie Fisher,Star Wars,21/10/1956
35,33874,Elizabeth Banks,The Hunger Games,10/02/1974
36,33270,Amanda Plummer,Pulp Fiction,23/03/1957
37,33172,Naomie Harris,Moonlight,06/09/1976
38,31969,Rebecca Hall,Vicky Cristina Barcelona,03/05/1982
39,31836,Emma Stone,La La Land,06/11/1988
40,31821,Juno Temple,Atonement,21/07/1989
41,31640,Sally Field,Forrest Gump,06/11/1946
42,31619,Rachel McAdams,The Notebook,17/11/1978
43,31397,Daryl Hannah,Wall Street,03/12/1960
44,30575,Michelle Monaghan,Gone Baby Gone,23/03/1976
45,30503,Nicole Kidman,Moulin Rouge!,20/06/1967
46,29970,Jennifer Garner,Alias,17/04/1972
47,29950,Carey Mulligan,Never Let Me Go,28/05/1985
48,29609,Kathy Bates,Misery,28/06/1948
49,29417,Emily Mortimer,Mary Poppins Returns,06/10/1971
50,29246,Naomi Watts,Mulholland Dr.,28/09/1968
51,28923,Michelle Williams,My Week with Marilyn,09/09/1980
52,28878,Diane Kruger,Inglourious Basterds,15/07/1976
53,28040,Mélanie Laurent,Inglourious Basterds,21/02/1983
54,27975,Julia Stiles,10 Things I Hate About You,28/03/1981
55,27832,Margot Robbie,Suicide Squad,02/07/1990
56,27685,Viola Davis,Fences,11/08/1965
57,27191,Maggie Smith,Gosford Park,28/12/1934
58,26846,Laura Linney,The Big C,05/02/1964
59,26500,Emma Watson,The Perks of Being a Wallflower,15/04/1990
60,26282,Charlize Theron,Monster,07/08/1975
61,26237,Rosanna Arquette,Pulp Fiction,10/08/1959
62,26219,Olivia Williams,The Ghost Writer,26/07/1968
63,26134,Octavia Spencer,Hidden Figures,25/05/1970
64,25861,Catherine Keener,Being John Malkovich,26/03/1959
65,25363,Alice Braga,I Am Legend,15/04/1983
66,25263,Patricia Clarkson,The Station Agent,29/12/1959
67,24906,Zoe Saldana,Avatar,19/06/1978
68,24537,Elliot Page,Juno,21/02/1987
69,24330,Elle Fanning,Super 8,09/04/1998
70,24210,Kerry Washington,Scandal,31/01/1977
71,23982,Cameron Diaz,Vanilla Sky,30/08/1972
72,23641,Kristen Wiig,Bridesmaids,22/08/1973
73,23630,Joan Allen,Room,20/08/1956
74,23475,Rachel Weisz,The Constant Gardener,07/03/1970
75,23423,Jennifer Jason Leigh,The Hateful Eight,05/02/1962
76,23395,Annette Bening,American Beauty,29/05/1958
77,23255,Rooney Mara,Carol,17/04/1985
78,23229,Kirsten Dunst,Spider-Man,30/04/1982
79,23137,Sarah Paulson,12 Years a Slave,17/12/1974
80,22428,Saoirse Ronan,Hanna,12/04/1994
81,22220,Penélope Cruz,Vicky Cristina Barcelona,28/04/1974
82,22214,Angelina Jolie,"Girl, Interrupted",04/06/1975
83,22156,Lucy Liu,Kill Bill: Vol. 1,02/12/1968
84,21989,Connie Nielsen,Gladiator,03/07/1965
85,21672,Ashley Judd,Double Jeopardy,19/04/1968
86,21387,Bridget Moynahan,"I, Robot",28/04/1971
87,21334,Kelly Macdonald,No Country for Old Men,23/02/1976
88,21281,Allison Janney,The Help,19/11/1959
89,21219,Piper Perabo,Coyote Ugly,31/10/1976
90,20987,Vivica A. Fox,Independence Day,30/07/1964
91,20868,Katie Holmes,Batman Begins,18/12/1978
92,20787,Jennifer Ehle,Zero Dark Thirty,29/12/1969
93,20033,Liv Tyler,Armageddon,01/07/1977
94,19889,Reese Witherspoon,Wild,22/03/1976
95,19767,Lea Thompson,Back to the Future,31/05/1961
96,19758,Emily Blunt,Edge of Tomorrow,23/02/1983
97,19503,Stephanie Kurtzuba,The Irishman,
98,19389,Catherine Zeta-Jones,Chicago,25/09/1969
99,19359,Hilary Swank,Million Dollar Baby,30/07/1974
100,19296,Amy Ryan,Gone Baby Gone,03/05/1968
101,19294,Rosamund Pike,Gone Girl,
102,19139,Michelle Pfeiffer,What Lies Beneath,29/04/1958
103,19127,Maria Bello,A History of Violence,18/04/1967
104,19098,Ellen Burstyn,Requiem for a Dream,07/12/1932
105,19023,Emily Watson,Gosford Park,14/01/1967
106,18884,Kim Basinger,L.A. Confidential,08/12/1953
107,18125,Marcia Gay Harden,Mystic River,14/08/1959
108,18112,Alison Pill,Scott Pilgrim vs. the World,27/11/1985
109,18070,Anna Kendrick,Up in the Air,09/08/1985
110,17614,Zoë Kravitz,Mad Max: Fury Road,01/12/1988
111,17561,Marisa Tomei,My Cousin Vinny,04/12/1964
112,17561,Franka Potente,Lola rennt,22/07/1974
113,17527,Karen Allen,Raiders of the Lost Ark,05/10/1951
114,17468,Frances Fisher,Titanic,11/05/1952
115,17352,Kristen Stewart,Snow White and the Huntsman,09/04/1990
116,17349,Isla Fisher,Wedding Crashers,03/02/1976
117,17330,Laura Dern,Jurassic Park,10/02/1967
118,17315,Bryce Dallas Howard,Jurassic World: Dominion,02/03/1981
119,17048,Sean Young,Blade Runner,20/11/1959
120,16656,Beverly D'Angelo,National Lampoon's Vacation,15/11/1951
121,16595,Mary Steenburgen,Last Vegas,08/02/1953
122,16402,Abbie Cornish,Bright Star,07/08/1982
123,16197,Ana de Armas,Blade Runner 2049,30/04/1988
124,16003,Chloë Sevigny,We Are Who We Are,18/11/1974
