Position,Points,Name,Known.For,Birth.Date
97,37180,Daniel Brühl,Rush,16/06/1978
98,36780,Benicio Del Toro,Sicario,19/02/1967
99,36442,Jeremy Renner,The Hurt Locker,07/01/1971
100,36291,Harry Dean Stanton,Alien,14/07/1926
101,36265,Robert Downey Jr.,Iron Man,04/04/1965
102,36156,Aaron Eckhart,The Dark Knight,12/03/1968
103,35670,Bruce Dern,Nebraska,04/06/1936
104,35510,Richard Harris,Unforgiven,01/10/1930
105,35406,Zach Galifianakis,The Hangover,01/10/1969
106,35387,Kyle Chandler,Super 8,17/09/1965
107,35216,Sam Rockwell,Moon,05/11/1968
108,34900,Colin Farrell,The Lobster,31/05/1976
109,34838,Tom Sizemore,Saving Private Ryan,29/11/1961
110,34227,Jim Carrey,Eternal Sunshine of the Spotless Mind,17/01/1962
111,34178,John Travolta,Pulp Fiction,18/02/1954
112,34116,Elliott Gould,M*A*S*H,29/08/1938
113,33688,Danny DeVito,Matilda,17/11/1944
114,33663,Sean Connery,Dr. No,25/08/1930
115,33539,Javier Bardem,Skyfall,01/03/1969
116,33362,Ewan McGregor,Moulin Rouge!,31/03/1971
117,33206,Mahershala Ali,House of Cards,16/02/1974
118,32827,Jonathan Pryce,The Two Popes,01/06/1947
119,32696,John C. Reilly,Chicago,24/05/1965
120,32491,Forest Whitaker,The Last King of Scotland,15/07/1961
121,32217,Josh Hutcherson,The Hunger Games,12/10/1992
122,32083,Josh Brolin,Avengers: Endgame,12/02/1968
123,31912,Sean Penn,Mystic River,17/08/1960
124,31471,Jonah Hill,21 Jump Street,20/12/1983
125,31054,Mark Hamill,Star Wars,25/09/1951
126,30854,Michael Stuhlbarg,A Serious Man,05/07/1968
127,30841,Colin Firth,A Single Man,10/09/1960
128,30707,Jean Reno,Léon,30/07/1948
129,30704,Liam Hemsworth,The Hunger Games,13/01/1990
130,30683,Matthew Modine,Full Metal Jacket,22/03/1959
131,30471,Gary Sinise,Forrest Gump,17/03/1955
132,30399,William H. Macy,Fargo,13/03/1950
133,30311,Jeffrey Wright,The French Dispatch,07/12/1965
134,30256,Sterling Hayden,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,26/03/1916
135,29945,Hugh Jackman,Les Misérables,12/10/1968
136,29869,Viggo Mortensen,The Lord of the Rings: The Return of the King,20/10/1958
137,29786,Timothy Spall,Mr. Turner,27/02/1957
138,29732,Franco Nero,John Wick: Chapter 2,23/11/1941
139,29673,David Oyelowo,Selma,01/04/1976
140,29623,Ving Rhames,Pulp Fiction,12/05/1959
141,29255,Ben Whishaw,The Lobster,14/10/1980
142,29229,David Strathairn,"Good Night, and Good Luck.",26/01/1949
143,29135,John Cleese,A Fish Called Wanda,27/10/1939
144,28981,Giovanni Ribisi,Boiler Room,17/12/1974
145,28981,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),05/09/1951
146,28927,Elijah Wood,The Lord of the Rings: The Fellowship of the Ring,28/01/1981
147,28821,Don Johnson,Miami Vice,15/12/1949
148,28789,Domhnall Gleeson,Frank,12/05/1983
149,28737,Christopher Walken,The Deer Hunter,31/03/1943
150,28721,Kevin Bacon,Footloose,08/07/1958
151,28628,Tommy Lee Jones,The Fugitive,15/09/1946
152,28323,Tom Berenger,Inception,31/05/1949
153,28131,Jeff Daniels,The Squid and the Whale,19/02/1955
154,27692,Ray Liotta,Goodfellas,18/12/1954
155,27299,Michael J. Fox,Back to the Future,09/06/1961
156,27206,James Caan,The Godfather,26/03/1940
157,27016,Michael Sheen,Masters of Sex,05/02/1969
158,26949,Sam Shepard,August: Osage County,05/11/1943
159,26905,Gene Hackman,The French Connection,30/01/1930
160,26663,J.K. Simmons,Whiplash,09/01/1955
161,26047,Rutger Hauer,Hobo with a Shotgun,23/01/1944
162,25874,Kurt Russell,The Hateful Eight,17/03/1951
163,25868,Jon Voight,Midnight Cowboy,29/12/1938
164,25324,Alan Arkin,Argo,26/03/1934
165,25215,Val Kilmer,The Doors,31/12/1959
166,25155,Christian Berkel,The Man from U.N.C.L.E.,28/10/1957
167,24823,Bill Paxton,Aliens,17/05/1955
168,24265,Mel Gibson,Braveheart,03/01/1956
169,24198,Albert Finney,Erin Brockovich,09/05/1936
170,24113,John Malkovich,Being John Malkovich,09/12/1953
171,24039,James Stewart,Anatomy of a Murder,20/05/1908
172,23997,Andy Garcia,Ocean's Eleven,12/04/1956
173,23458,Simon Pegg,Shaun of the Dead,14/02/1970
174,23437,Nicolas Cage,Face/Off,07/01/1964
175,23300,Vincent Cassel,L'ennemi public n°1,23/11/1966
176,22887,Danny Aiello,Do the Right Thing,20/06/1933
177,22740,Terrence Howard,Crash,11/03/1969
178,22667,William Hurt,A History of Violence,20/03/1950
179,22548,John Lithgow,The World According to Garp,19/10/1945
180,22373,Steve Carell,The Office,16/08/1962
181,22331,Alec Guinness,The Bridge on the River Kwai,02/04/1914
182,22319,Clive Owen,Children of Men,03/10/1964
183,21773,Danny Huston,The Constant Gardener,14/05/1962
184,21744,John Turturro,Barton Fink,28/02/1957
185,21725,Richard Conte,The Godfather,24/03/1910
186,21672,Hugh Grant,Love Actually,09/09/1960
187,21640,Nick Nolte,Warrior,08/02/1941
188,21202,Jim Broadbent,Moulin Rouge!,24/05/1949
189,21190,Jeff Goldblum,Jurassic Park,22/10/1952
190,21157,Michael Nyqvist,John Wick,08/11/1960
191,21126,Joel Edgerton,The Gift,23/06/1974
192,20987,David Carradine,Kill Bill: Vol. 2,08/12/1936
193,20980,Kevin Costner,The Postman,18/01/1955
194,20893,Jason Statham,Crank,26/07/1967
195,20619,Emile Hirsch,Into the Wild,13/03/1985
196,20483,Daniel Radcliffe,Harry Potter and the Deathly Hallows - Part 2,23/07/1989
197,20483,Rupert Grint,Harry Potter and the Sorcerer's Stone,24/08/1988
198,20458,Shia LaBeouf,Honey Boy,11/06/1986
199,20415,John Hawkes,The Sessions,11/09/1959
200,20247,Christopher Lee,Star Wars: Episode II - Attack of the Clones,27/05/1922
201,20201,James Franco,Spring Breakers,19/04/1978
202,20074,Eric Bana,Dirty John,09/08/1968
203,19979,Daniel Day-Lewis,There Will Be Blood,29/04/1957
204,19922,Miles Teller,Whiplash,20/02/1987
205,19868,Haley Joel Osment,The Sixth Sense,10/04/1988
206,19851,Shea Whigham,Take Shelter,05/01/1969
207,19756,Gabriel Byrne,The Usual Suspects,12/05/1950
208,19734,Jeff Bridges,The Big Lebowski,04/12/1949
209,19718,Bryan Cranston,Breaking Bad,07/03/1956
210,19649,Topher Grace,In Good Company,12/07/1978
211,19619,Seth Rogen,This Is the End,15/04/1982
212,19603,Mark Rylance,Bridge of Spies,18/01/1960
213,19574,Ben Stiller,Zoolander,30/11/1965
214,19565,Hal Holbrook,Into the Wild,17/02/1925
215,19548,Rod Taylor,Inglourious Basterds,11/01/1930
216,19310,Jean Dujardin,The Artist,19/06/1972
217,19301,Oscar Isaac,Ex Machina,09/03/1979
218,19298,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,25/05/1939
219,19167,Chris Hemsworth,The Avengers,11/08/1983
220,19075,Chris Pratt,Guardians of the Galaxy,21/06/1979
221,18407,Michael Douglas,Behind the Candelabra,25/09/1944
222,18301,Jason Clarke,Zero Dark Thirty,17/07/1969
223,18206,Eli Wallach,"Il buono, il brutto, il cattivo",07/12/1915
224,18195,Mathieu Amalric,Le scaphandre et le papillon,25/10/1965
225,18120,David Hemmings,Blow-Up,18/11/1941
226,18110,Liev Schreiber,Spotlight,04/10/1967
227,17880,Pierce Brosnan,The World Is Not Enough,16/05/1953
228,17562,Rupert Graves,Sherlock,30/06/1963
229,17550,Jesper Christensen,Quantum of Solace,16/05/1948
230,17532,Michael Biehn,Aliens,31/07/1956
231,17243,Sam Worthington,Avatar,02/08/1976
232,17241,Thomas Kretschmann,King Kong,08/09/1962
233,17239,F. Murray Abraham,The Grand Budapest Hotel,24/10/1939
234,17231,Robert Pattinson,Twilight,13/05/1986
235,17199,Lee J. Cobb,12 Angry Men,08/12/1911
236,17103,Eli Roth,Cabin Fever,18/04/1972
237,17103,Til Schweiger,Inglourious Basterds,19/12/1963
238,17103,August Diehl,Inglourious Basterds,04/01/1976
239,17103,Alexander Fehling,Inglourious Basterds,29/03/1981
240,16981,Henry Fonda,12 Angry Men,16/05/1905
241,16736,Peter Sarsgaard,Shattered Glass,07/03/1971
242,16690,David Thewlis,Naked,20/03/1963
243,16511,James Woods,Vampires,18/04/1947
244,16342,Cuba Gooding Jr.,Jerry Maguire,02/01/1968
245,16208,Sebastian Koch,Das Leben der Anderen,31/05/1962
246,16090,Billy Bob Thornton,Sling Blade,04/08/1955
247,15694,Nick Frost,The World's End,28/03/1972
248,15616,Dev Patel,Slumdog Millionaire,23/04/1990
249,15573,Jesse Eisenberg,The Social Network,05/10/1983
250,15439,Patrick Swayze,Dirty Dancing,18/08/1952
251,15200,Greg Kinnear,As Good as It Gets,17/06/1963
