show_id,title,Likes,Languages,Genres,Descriptions
s2942,Locke & Key,83%,," Horror fiction, Drama","Following their father's murder, three siblings move into a house filled with reality-bending keys; from the comics by Joe Hill and Gabriel Rodriguez."
s2943,My Holo Love,94%,Korean," Romance, Science fiction",A lonely woman with face blindness finds the perfect companion upon getting to know a humanlike hologram modelled after its genius creator.
s2945,Who Killed Malcolm X?,89%,,,"Who Killed Malcolm X? is a 2020 documentary miniseries directed by Rachel Dretzin and Phil Bertelsen. Produced by Fusion, the series began streaming on Netflix on February 7, 2020. Wikipedia"
s1336,The Sinner,90%,English,Drama,Detective Harry Ambrose investigates various atrocious murder cases and tries to analyse the reasons behind ordinary people committing heinous crimes.
s2946,Cagaster of an Insect Cage,71%,,,"Thirty years after a disease that turns those infected into carnivorous insects emerges, a teenage girl and a young exterminator search for her mother."
s1341,Little Big Women,84%,,,Family members grapple with the passing of their estranged father and the remnants of the life he led during his absence.
s1345,The Last Paradiso,51%,Italian,,"In 1850s Italy, a passionate free spirit dreams of love, justice and a better life, until a forbidden affair threatens everything."
s2949,The Pharmacist,87%,English,Television documentary,"After losing his son in a drug-related shooting, small-town pharmacist Dan Schneider embarks on a crusade to bring a reckoning against the powerful figures behind the nation's devastating opioid epidemic."
s2950,Uppity: The Willy T. Ribbs Story,,English,,An in-depth profile of the life and career of Willy T. Ribbs - the controversial Black driver who shattered the colour barrier of professional auto-racing and became the first Black qualifier in the storied history of the Indy 500.
s5973,#cats_the_mewvie,,,,Celebrity cat owners and online experts explore how the humble house cat has captured hearts and imaginations.
s2951,Dragonheart: Vengeance,62%,English,,"With the help of a dragon and a mercenery, Lukas, a young farmer, decides to find and punish the raiders responsible for the death of his family."
s2953,Tom Papa: You're Doing Great!,,,,
s1347,All My Friends Are Dead,67%,Polish,,"Friends at a New Year's Eve party go through a whirlwind of events that exposes secrets, breaks hearts -- and leads to a shocking outcome."
s1348,Black Beach,58%,,,A lawyer with a promising future is forced to deep dive into his past when he agrees to negotiate with an old friend turned kidnapper.
s2954,Team Kaylie,68%,,Sitcom,"After a brush with the law, teenage celebrity billionaire Kaylie Konrad is ordered by the court to lead an inner-city wilderness club."
s2956,The Silent War,84%,,,"The Silent War is a 2012 Chinese-Hong Kong thriller film directed by Alan Mak and Felix Chong. It is an adaptation of the popular novel Plot Against written by Mai Jia.\nThe story is about a recruit with extrasensory perception working for a government unit tasked with stopping an ""invisible enemy"". Wikipedia"
s2868,All The Bright Places,78%,,,"After meeting each other, two teenagers struggle with the emotional and physical scars of their pasts. They discover that even the smallest moments can mean something."
s2871,Queen Sono,79%," English, French, Russian, Swahili, Afrikaans, Xhosa, Zulu, Shona, Tsonga, Pretoria Sotho"," Thriller, Crime film, Action fiction",A highly trained South African spy takes on her most dangerous mission yet while facing changing relationships in her personal life.
s2873,Unstoppable,,,,
s2874,Ala Vaikunthapurramuloo,83%,,,"Bantu grows up being constantly subjected to his father's scorn. However, when he learns of his real parentage, he decides to carve a place for himself within the family he truly belongs to."
s2875,Altered Carbon,84%," English, Japanese, Spanish",,"More than 300 years in the future, society has been transformed by new technology, leading to human bodies being interchangeable and death no longer being permanent. Takeshi Kovacs is the only surviving soldier of a group of elite interstellar warriors who were defeated in an uprising against the new world order. His mind was imprisoned for centuries until impossibly wealthy businessman Laurens Bancroft offers him the chance to live again. Kovacs will have to do something for Bancroft, though, if he wants to be resurrected. Bancroft\'s request of Kovacs is to solve a murder -- Bancroft\'s. ""Altered Carbon"" is based on Richard K. Morgan\'s cyberpunk noir novel of the same name.â€¦\xa0MORE"
s2876,Followers,71%,Japanese,Japanese television drama,"When an aspiring actress hits it big thanks to a candid Instagram, her life intersects with many other Tokyo women as they follow their dreams."
s2878,Six Windows in the Desert,58%,,,"Six short films about various topics including nature; social taboos, extremism and the human psyche."
s2881,I Am Not Okay With This,80%,English,,"A teenager navigates the complexities of high school, family and her sexuality while dealing with new superpowers; based on Charles Forsman's graphic novel."
s2884,The Trials of Gabriel Fernandez,93%,English," Documentary, True crime",A boy's murder and the trials of his guardians and social workers prompt questions about the system's protection of vulnerable children.
s2887,Pete Davidson: Alive From New York,,,,
s1274,"Blue, Painful, Fragile",53%,,,"Two students form a club together to change the world; when one disappears, the other throws himself into bringing the club back to its idealistic roots."
s1280,Made You Look: A True Story About Fake Art,67%,,,"Filmmaker Barry Avrich chronicles the events of the largest art fraud in American history, when Knoedler & Company unwittingly purchased and sold fake works by famed artists."
s2889,"Hi Bye, Mama!",92%,Korean," Korean drama, Drama, Comedy, Fantasy television","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter."
s1283,Zindagi in Short,,,,"Zindagi inShort is a 2020 Indian Hindi-language anthology film. It is a Flipkart Video Original that comprises seven short films showcasing different stories, directed by a host of directors: Tahira Kashyap, Punarvasu Naik, Vijayeta Kumar, Rakesh Sain, Gautam Govind Sharma, Smrutika Panigrahi and Vinay Chhawal. Wikipedia"
s2892,Gentefied,87%," English, Spanish",Comedy drama,"In Los Angeles, three Mexican-American cousins chase the American Dream, even while that dream threatens the things they hold most dear, including their neighborhood, their immigrant grandfather and the family-owned taco shop."
s2893,Hyena,,,,"Hyenas, or hyaenas, are feliform carnivoran mammals of the family Hyaenidae. With only four extant species, it is the fifth-smallest family in the Carnivora and one of the smallest in the class Mammalia. Despite their low diversity, hyenas are unique and vital components of most African ecosystems. Wikipedia"
s2894,Passion. Panache. Pep,,,,"From delicious delicacies to dream destinations, this collection features vibrant stories on cultural trends across food, fashion and travel in India."
s2895,Puerta 7,81%,Spanish," Drama, Thriller",A woman tries to rid an Argentine soccer club of the organized crime surrounding it.
s2896,System Crasher,83%,,,"9-year-old Benni is a toss-up between institutions that cannot tackle her outbursts. She wants to move in with her mother, but she can not handle her wild daughter. Micha is hired at the institution, Benni slowly opens up and attaches herself to him."
s2898,The Last Thing He Wanted,42%,,,"While brokering an arms deal for her ailing father, a reporter travels to Central America and becomes involved in a government conspiracy."
s2899,Yeh Ballet,55%,Hindi,,"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams."
s1287,Classmates Minus,82%,,,"Four school buddies -- a director, a temp worker, an insurance salesman, and a paper craftsman -- grapple with unfulfilled dreams amid middle age ennui."
s1290,Wave of Cinema: Surat dari Timur,,,,A virtual concert with a mix of film footage and special performances honours the memory and music of revered Indonesian singer Glenn Fredly.
s2901,Spectros,59%,Portuguese," Thriller, Supernatural fiction","A Horror mystery starts taking place in the district of Liberdade, the Japanese neighbourhood of Sao Paulo. A Teenage boy comes together with three other misfit kids."
s1352,"Our Lady of San Juan, Four Centuries of Miracles",,Spanish,,A family embarks on a pilgrimage four centuries after the Virgin Mary performed a miracle.
s1292,Love,,,,
s1307,Good Girls,87%,English,,"When sisters Beth and Annie and their best friend Ruby become fed up with playing by the rules and not getting the respect they deserve, they band together to take control of their lives -- by holding up a local grocery store. Beth's the perfect wife and mother, but her used-car-dealing, cheating husband has sent her family into financial ruin; Ruby is happily married to a policeman but can't afford the medical bills and experimental drugs to help her daughter; and Annie, a single mom, is caught in a nasty custody battle with her ex. In desperate need of money, the women plan the heist expecting to ease their financial burdens. But new to the game of crime, they get pulled in deeper than they ever imagined -- and the only way out of this will be together.â€¦\xa0MORE"
s2915,Isi & Ossi,90%,German,,"They couldn't be any more different: Isi (20) is a billionaire's daughter from posh Heidelberg, Ossi (23) lives in the nearby working-class town of Mannheim, raised by his poor, struggling single mother."
s2918,Taj Mahal 1989,84%,Hindi," Romance, Drama, Comedy","Students Dharam and Rashmi are in love, but as Dharam becomes more passionate about his political ambitions, Rashmi questions the change in his demeanor; Angad falls head over heels for Mamta who is the student leader for the communist party."
s1313,Monsoon,,,,A monsoon is traditionally a seasonal reversing wind accompanied by corresponding changes in precipitation but is now used to describe seasonal changes in atmospheric circulation and precipitation ... Wikipedia
s2922,Narcos: Mexico,93%," Spanish, English"," Crime film, Drama, Biographical","This continuation of ""Narcos"" explores the origins of the modern drug war by going back to its roots, starting at a time when the Mexican trafficking world was a loose, disorganized confederation of independent growers and dealers. It\'s the 1980s, and Felix Gallardo takes the helm of the Guadalajara Cartel, unifying traffickers to build an empire. As DEA agent Kiki Camarena moves his wife and young son from California to Guadalajara to take on a new post, he learns his assignment is more challenging than he imagined. A tragic chain of events unfolds as Camarena gains intelligence on Gallardo and becomes more entangled in the mission.â€¦\xa0MORE"
s2926,To All the Boys: P.S. I Still Love You,88%,,,"As her relationship with Peter continues to grow, Lara Jean reunites with another recipient of one of her old love letters."
s1324,Layla Majnun,70%,,,"While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work -- but her arranged marriage stands in the way."
s2928,Captain Underpants Epic Choice-o-Rama,,,,"In this interactive special, Harold and George need your decision-making skills to stop Krupp from blowing their beloved treehouse to smithereens."
s2930,ROAD TO ROMA,59%,,,"Road to Roma is a making-of documentary film directed by Andres Clariond and Gabriel Nuncio, and starring Yalitza Aparicio, OdÃ­n Ayala and Eugenio Caballero. The premise revolves around the making of the film Roma. Wikipedia"
s1361,The House Arrest of Us,85%,,,A couple decides to make their engagement official by honouring tradition when a pandemic forces them and their families to quarantine under one roof.
s2960,Itaewon Class,95%,Korean," Korean drama, Drama",An ex-con and his friends fight to make their ambitious dreams for their street bar a reality.
s2965,Night on Earth: Shot in the Dark,,,,"This look behind the scenes shows how worldwide camera crews climbed, dived and froze to capture the documentary's groundbreaking night footage."
s1572,Rose Island,87%," Italian, French",,"Based on the true story of Giorgio Rosa and the tiny nation he founded in 1968 off the Rimini coast, embodying a generation's dreams and aspirations"
s1573,The Big Show Show,85%,English,Sitcom,Former WWE wrestler the Big Show tackles the tough challenge of raising three daughters with his wife in Florida.
s1574,The Expanding Universe of Ashley Garcia,83%,English,Television comedy,"Teenage robotics engineer and rocket scientist Ashley Garcia moves across the country to work for NASA and live with her uncle, a high school football coach."
s1575,The Surgeon's Cut,76%,English,Television documentary,Four surgeons who are pioneers in their fields reflect on their lives and professions.
s1576,AndrÃ© & his olive tree,62%,,,Michelin-starred chef AndrÃ© Chiang closes his restaurant in Singapore to pursue the true meaning of perfection.
s1577,Bobbleheads The Movie,,,,"Four bobbleheads band together to protect their home from a pair of uninvited guests who encroach upon their home. Together, they devise a foolproof plan to shoo the intruders away."
s1578,Emicida: AmarElo - Itâ€™s All For Yesterday,70%,Portuguese,,"Between scenes from his concert in SÃ£o Paulo's oft-inaccessible Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture."
s1580,Mr. Iglesias,89%,English," Comedy, Sitcom",Stand-up comic Gabriel Iglesias stars in this series as a good-natured high school history teacher who tries to help gifted misfits.
s1581,Spirit Riding Free: Ride Along Adventure,,,,Lucky and her friends go on a mission to save Maricela's beloved mare from horse thieves who have taken her captive with a wild herd.
s1582,Super Monsters: Santaâ€™s Super Monster Helpers,,,,"When GrrBus takes Sami, Zane, Olive, and Rocky on a field trip to the North Pole, they accidentally cause a catastrophe at Santa's workshop, and it's up to the eight older Super Monsters to come to the rescue and save Christmas."
s1585,Ava,62%,,,"Ava, an assassin, becomes the target of her peers after a botched mission. Consequently, she is forced to fight for survival as the organisation relentlessly pursues her."
s1586,Manhunt: Deadly Games,84%,English," True crime, Drama","Security officer Richard Jewell thwarts a deadly explosion at the 1996 Atlanta Olympics. However, he soon finds himself in the middle of a gruelling investigation by the FBI."
s1587,Room 2806: The Accusation,70%,French,,The 2011 sexual assault case involving French politician Dominique Strauss-Kahn at the height of his career.
s3169,Fuller House,86%,,,"Candace Cameron Bure, Jodie Sweetin and Andrea Barber are among the original Full House cast members who have returned to star in this spinoff, Fuller House. D.J., now widow and a mother to three sons, finds herself back in her childhood home alongside her sister Stephanie, an aspiring musician, and her lifelong friend Kimmy Gibbler, who is also a single mother. All under one roof, the women experience moments big and small together, including budding romances, holidays, parenting and life\'s surprises.â€¦\xa0MORE"
s1588,Detention,,,,"A drunk tank is a jail cell or separate facility accommodating people who are intoxicated, especially with alcohol. Some such facilities are mobile, and may be spoken of as ""booze buses"". Wikipedia"
s1589,Mighty Express: A Mighty Christmas,,English,,"Mandy Mail must deliver a load of late Christmas letters to the North Pole, then all the trains join in to help Santa deliver the presents during a big storm."
s1590,Bhaag Beanie Bhaag,38%," English, Hindi",Romantic comedy,"Facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic pursues a career in standup comedy."
s1591,Big Mouth,90%,,,"Even for a cartoon character, going through puberty isn\'t easy for a young person. Andrew is learning that first hand as he experiences the nightmare that is growing up in this animated series geared toward adults. Along for the ride are friends Nick and Jessi, who develop a budding romance along the way. The comedy veterans who lend their voices to ""Big Mouth"" include John Mulaney, Nick Kroll, Maya Rudolph and Jordan Peele.â€¦\xa0MORE"
s1592,Captain Underpants Mega Blissmas,61%,,,"George and Harold love Christmas, but they feel like it could use some upgrades, so they make a comic about a new version of the holiday: BLISSMAS."
s1593,Christmas Crossfire,35%,German,,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him."
s1594,Kings of Jo'Burg,,,,
s1595,Leyla Everlasting,36%,Turkish,,"Adem decides to end his 20-year marriage with Leyla for his gorgeous mistress Nergis, but it seems nearly impossible to get rid of Leyla naturally. If he doesn't find a solution, Adem's forbidden lover Nergis will slip through his fingers."
s1596,MANK,62%,,,"1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish ""Citizen Kane."""
s1597,The Great British Baking Show: Holidays,84%,,,"Deck the halls with sugar, butter and chocolate as competitors from past seasons bake sweet Yuletide treats for judges Paul Hollywood and Prue Leith."
s1598,You Are My Home,,English,,"Separated from her family, a girl finds herself in the care of a heartbroken woman who is facing her own struggles."
s1472,Best of Stand-Up 2020,,,,"A compilation of jokes, stories and one-liners from 2020 comedy specials, with Jerry Seinfeld, Leslie Jones, Kevin Hart, Hannah Gadsby, Jack Whitehall, Michelle Buteau, Michael McIntyre, Fortune Feimster, Thomas Middleditch, and others."
s1474,Chilling Adventures of Sabrina,88%,English," Adolescence, Drama, Supernatural, Mystery, Horror fiction, Dark fantasy, Supernatural fiction","This adaptation of the ""Sabrina the Teenage Witch"" tale is a dark coming-of-age story that traffics in horror and the occult. In the reimagined origin story, Sabrina Spellman wrestles to reconcile her dual nature -- half-witch, half-mortal -- while standing against the evil forces that threaten her, her family -- including aunts Hilda and Zelda -- and the daylight world humans inhabit. Kiernan Shipka (""Mad Men"") leads the cast in the titular role of the show that is based on a comic series of the same name.â€¦\xa0MORE"
s1475,Tarung Sarung,83%,,,A wealthy young man finds something to fight for when he falls for an environmental activist protesting his family's business.
s1477,Best Leftovers Ever!,61%,,,"Home cooks compete to transform leftovers into delicious creations, finding ways to give old leftovers new life, all in the hopes of winning a $10,000 prize."
s1479,Equinox,,,,"Equinox Group is an American luxury fitness company which operates several lifestyle brands: Equinox, Equinox Hotels, Precision Run, Project by Equinox, Equinox Explore, Equinox Media, Furthermore, PURE Yoga, Blink Fitness, and SoulCycle. Wikipedia"
s1480,SanPa: Sins of the Savior,87%,Italian,Television documentary,"Amidst a heroin crisis, entrepreneur Vincenzo Muccioli cares for addicts, earning him fierce public devotion, even as charges of violence begin to mount."
s1482,The Rope Curse 2,53%,,,A conflicted Taoist priest attempts to help a lonely young psychic whose aunt is possessed by a powerful demon after a purification ritual goes wrong.
s1483,Transformers: War for Cybertron: Earthrise,70%,,,"On their dying planet, the Autobots and Decepticons battle for control of the AllSpark in the Transformers universe's origin story."
s1601,Chico Bon Bon and the Very Berry Holiday,,,,"The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster."
s1602,Just Another Christmas,88%,Portuguese,,"Stuck in a time loop at Christmastime, a family man who hates the holiday starts to learn valuable lessons about what's truly important in life."
s1484,A Love So Beautiful,95%,Mandarin," Romantic comedy, Coming-of-age story","The ups and downs of school, family and growing up test the affection between a budding artist and her handsome but indifferent classmate and neighbour."
s1485,Cops and Robbers,,,,A band of thieves plot to steal the children's toys before they are received on Christmas. Google Books
s1487,Death to 2020,81%,,,"From the creators of ""Black Mirror,"" this mockumentary weaves together commentary from analysts, historians, scientists, business leaders, and pundits with real-life archival footage spanning 2020."
s1489,DNA,,,,"Deoxyribonucleic acid is a polymer composed of two polynucleotide chains that coil around each other to form a double helix. The polymer carries genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses. DNA and ribonucleic acid are nucleic acids. Wikipedia"
s1490,Regiment Diaries,64%,,,"Historical footage and interviews with soldiers showcasing war stories, unique traditions and unifying principles of the Indian Army's various regiments."
s1491,The Magic School Bus Rides Again In the Zone,,English,,It's the longest New Year's Eve ever as Ms. Frizzle and class travel back in time to save their beloved bus.
s1492,AK vs AK,71%,Hindi,,"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor's daughter and films the search for her in real time."
s1493,Bridgerton,95%,," Romance, Historical drama, Regency romance, Alternate history","During the Regency era in England, eight close-knit siblings of the powerful Bridgerton family attempt to find love."
s1495,We Can Be Heroes,61%,,,"When alien invaders kidnap Earth's superheroes, their children must team up and learn to work together if they want to save their parents and the world."
s1500,The Midnight Sky,45%,,,A lone scientist in the Arctic races to contact a crew of astronauts returning home to a mysterious global catastrophe.
s1501,Your Name Engraved Herein,90%,,,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressures, homophobia and social stigma."
s1502,After We Collided,81%,,,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.
s1503,London Hughes: To Catch a D*ck,,,,"London Hughes: To Catch a D*ck is a stand-up routine by the British comedian London Hughes. Largely about sex, Hughes recounts stories about her mother and grandmother having children at a young age, her career as an adult chat host and then a children's presenter, and her sexual experiences. Wikipedia"
s1504,Lovestruck in the City,82%,Korean,Romance,A passionate architect loses his heart to a free-spirited woman and sets out to reunite with her on the streets of Seoul.
s1505,QLIMAX THE SOURCE,,,,
s1506,Rhyme Time Town Singalongs,55%,English,,Sing-alongs with friends as they use their imagination and flex their problem-solving skills.
s1508,Shaun the Sheep: The Farmerâ€™s Llamas,62%,,,Shaun the Sheep: The Farmer's Llamas is a British stop-motion animated television special based on the television program Shaun the Sheep by Nick Park. Wikipedia
s1510,"Ariana grande: excuse me, i love you",76%,,,"Ariana Grande travels around the globe on her sold-out 2019 Sweetener World Tour, featuring the performances of the hits that have burned up the charts, as well as footage of the singer at home and on the road with her dancers and band."
s1513,Rhys Nicholson Live at the Athenaeum,,,,"The comic flexes his biting humour as he discusses horse tranquilizers, angry letters from viewers and more."
s1604,Alien Worlds,73%,English," Science fiction, Speculative evolution, Docufiction",A blend of science fact and fiction to imagine alien life on other planets.
s1605,Ari EldjÃ¡rn: Pardon My Icelandic,,,,"The comic pokes fun at Nordic rivalries, Hollywood's take on Thor, toddlers, and more."
s1606,Check The Store Next Door: The Next Chapter,89%,,,"When a former shop owner becomes bored with retirement, he buys a fish pond and manages new hijinks in his life with a staff of quirky employees."
s1607,Fierce,,,,
s1608,Hazel Brugger: Tropical,,,,"In this stand-up special, comedian Hazel Brugger offers her breezy takes on unruly geese, chatty gynecologists, German bank loans and more."
s1516,Guest House,,,,"A guest house is a kind of lodging. In some parts of the world, guest houses are a type of inexpensive hotel-like lodging. In others, it is a private home that has been converted for the exclusive use of lodging. Wikipedia"
s1517,Home for Christmas,94%,Norwegian," Romantic comedy, Comedy drama",Perpetually single Johanne -- tired of the constant comments on her relationship status -- starts a 24-day hunt for a boyfriend to bring home for Christmas.
s1518,Ma Rainey's Black Bottom,82%,,,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.
s1519,Ma Rainey's Black Bottom: A Legacy Brought to Screen,,,,"Viola Davis, Denzel Washington, George C. Wolfe and more share the heart, soul and history that brought August Wilson's timeless play to the screen."
s1521,Paava Kadhaigal,96%,Tamil,,"Paava Kadhaigal is a 2020 Indian Tamil-language anthology drama film consisting of four short films directed by Sudha Kongara, Gautham Vasudev Menon, Vetrimaaran and Vignesh Shivan. Through four unique stories, the film explores how pride, honour, and sin influence complex relationships of love. Wikipedia"
s1524,An Unremarkable Christmas,55%,,,An accountant and aspiring magician invites his boss to spend Christmas with his family -- unaware that he's one of Colombia's most-wanted criminals.
s1528,Morphle,52%,English,Pre-school,"Little Mila turns playtime into a series of fun and educational adventures with her magical pet Morphle, who transforms into anything she dream up."
s1529,Run On,85%,Korean," Korean drama, Romance, Drama, Sport, Life","Veering off from his preset path, a track star follows his heart after a film translator steps into his life."
s1531,Schulz Saves America,73%,,,The comic takes on the year's most divisive topics.
s1533,Anitta: Made In HonÃ³rio,63%,,,"Brazilian singer Anitta opens up about family, fame, her work ethic, and being raised in the HonÃ³rio Gurgel neighbourhood in Rio de Janeiro."
s1534,BREAK IT ALL: The History of Rock in Latin America,82%,Spanish,,"Soda Stereo, CafÃ© Tacvba, Aterciopelados and other rock bands are featured in this chronicle of 50 years of rock and roll in Latin America, through dictatorships, disasters and dissent."
s1536,How To Ruin Christmas,89%," English, Xhosa, Zulu, Southern Sotho, Tswana",Comedy,Tumi tries to make things right after ruining what should have been her sister's picture-perfect Christmas wedding.
s1542,The Ripper,77%,,Television documentary,"Investigators and witnesses recall the Yorkshire Ripper murders, which cast a shadow over the north of England in the late 1970s."
s1543,Vir Das: Outside In - The Lockdown Special,64%,,,Stage banter takes on a different â€” deeper â€” meaning as the comedian performs online shows to homebound viewers worldwide from his Mumbai residence.
s1546,Pup Academy,88%,English,,Dogs from all over the globe travel through magical portals disguised as fire hydrants to a secret place where they are trained by an esteemed canine faculty to become man's best friend.
s1547,Song Exploder,,,,"Song Exploder is a podcast where musicians take apart their songs, and piece by piece, tell the story of how they were made."
s1551,A California Christmas,75%,English,,"With his carefree life hanging in the balance, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land."
s1553,Tiny Pretty Things,82%,English,Drama,"After an attack brings down the star student at a ballet school, her replacement enters a world of lies, betrayal and cutthroat competition."
s1554,The Netflix Afterparty: The Best Shows of The Worst Year,50%,,,"David Spade, Fortune Feimster and London Hughes welcome cast members, creators and comics from Netflix's most buzz-worthy series, specials and movies."
s1555,Children of Adam,,,,
s1557,A Trash Truck Christmas,76%,English,,"Six-year-old Hank and his best pal, a giant trash truck, go on lots of adventures, from learning how to fly to going to the movies."
s1558,Canvas,,,,
s1559,Giving Voice,53%,,,"Students from across the United States audition for a spot in the August Wilson Monologue Competition, culminating in a riveting final round on a Broadway stage."
s1560,The Mess You Leave Behind,73%," Spanish, Galician"," Thriller, Drama","Raquel, a young literature teacher, gives her marriage a second chance and moves to her husband's hometown, which hides a dark secret she will try to unravel."
s1561,The Prom,68%,,,Down-on-their-luck Broadway stars shake up a small Indiana town as they rally behind a teen who wants to go to the prom with her girlfriend.
s1562,Torbaaz,56%,Hindi,,"At an Afghanistan refugee camp, an ex-army doctor seeks to bring children joy through cricket -- and soon realizes that the stakes go beyond the sport."
s1563,Alice in Borderland,95%,Japanese," Survival, Science fiction, Thriller, Drama","Obsessed gamer Arisu suddenly finds himself in a strange, emptied-out version of Tokyo in which he and his friends must compete in dangerous games in order to survive."
s1564,Funny Boy,26%,,,"A young boy falls in love with a male classmate, just as political tensions escalate between the Sinhalese and Tamils in the years leading up to the 1983 uprisings."
s1565,Futmalls.com,72%,," Inference, Science fiction",Strange occurrences plague shoppers who purchase items on a shopping web site from the future.
s1610,Angela's Christmas Wish,49%,,,"Angela's Christmas Wish is an Irish animated family film written and directed by Damien O'Connor. It was released on Netflix on 1 December 2020. It features the voices of Lucy O'Connell, Brendan Mullins and Ruth Negga. Wikipedia"
s1618,Natalie Palamides: Nate - A One Man Show,,,,"Nate â€“ A One Man Show is a performance by American comedian Natalie Palamides, which explores consent through the male character Nate. Through audience participation, Nate challenges his ex-girlfriend's new partner to wrestling, and goes on a date with his art teacher Miss Jackson. Wikipedia"
s1628,The Holiday Movies That Made Us,59%,,,"A look at two iconic holiday movies -- ""Elf"" and ""The Nightmare Before Christmas"" -- uses behind-the-scenes footage and cast and crew interviews."
s1630,U-Turn,82%,,,"While travelling to Vegas, Bobby is forced to stop at Arizona after his car breaks down. But he gets caught in several problems when he meets a local resident, Grace."
s8126,Super Wings,74%," English, Korean",,"Fun-loving jet plane Jett delivers packages to children around the world in this animated series. Jett teams up with the Super Wings, a group of airplanes that can transform into robots, to tackle new challenges and work through issues that teach problem-solving skills and the importance of cultural diversity. The Super Wings crew includes mission director Jimbo, rescue copter Dizy, gadget guru Donnie and expert navigator Jerome -- an important part of the group because the planes travel to 52 cities in 45 countries on their adventures, requiring someone who is able to help navigate.â€¦\xa0MORE"
s2150,We Summon the Darkness,65%,,,Three best friends cross paths with sadistic killers after travelling to a secluded country home for a party after a heavy metal concert.
s295,Takizawa Kabuki ZERO 2020 The Movie,52%,,,"Superstar Hideaki Takizawa reimagines his acclaimed kabuki production for the screen, featuring the dynamic talents of idol group Snow Man."
s2151,"Berlin, Berlin: Lolle on the Run",30%,German,,"Lolle has moved on with her best friend, Hart, and they are about to get married, but Sven disrupts their plans."
s2152,High Seas,86%,Spanish," Drama, Mystery, Historical drama, Crime fiction, Crime TV genre",Mysterious deaths on a luxurious ship travelling from Spain to Rio de Janeiro in the 1940s uncover secrets surrounding two sisters who are travelling together.
s2153,Selling Sunset,88%,English,Reality,"Selling real estate in the Los Angeles market can be glorious, given the area\'s sunny location and an abundance of the rich and famous living there. It can also be cutthroat as agents fight over clients and properties. ""Selling Sunset"" showcases the drama at The Oppenheim Group, where elite real estate brokers sell the luxurious life to their affluent buyers. And the drama gets bumped up even more when a new agent joins the team and the veterans want her to prove herself before accepting her as a member of the group.â€¦\xa0MORE"
s2154,Sing On! Germany,49%,German,,"Contestants must hit the right note for a chance to win up to 30,000 euros."
s2156,The Magic School Bus Rides Again Kids In Space,42%,,,The Magic School Bus kids blast into orbit - and onto the International Space Station - only to find themselves on the run from a giant tardigrade.
s2157,Tiny Creatures,54%,," Fiction, Pseudo-documentary",Small animals embark on big adventures across the U.S. in a dramatic nature series that explores their hidden worlds and epic survival stories.
s2158,Wizards: Tales of Arcadia,78%,," Animation, Science fantasy","The trolls, aliens and wizards living in Arcadia face off in a battle for control of their magical world."
s2159,Word Party Songs,52%,,,"Singing and dancing with baby animals -- Bailey, Franny, Kip, Lulu, and Tilly -- in a collection of music videos."
s2160,Work It,78%,,,"An awkward 18-year-old achieves near-perfection by sheer hard work. She vows to transform her gawkiness through dance, and refine her skills until she competes at a competition."
s299,Quam's Money,71%,,,"Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud."
s2162,Nasha Natasha,36%,,,"Behind-the-scenes footage from concerts throughout Russia reveals life on tour for Uruguayan performer Natalia Oreiro, who is one of the few Latin American singers to become popular in the Czech Republic, Poland, Russia, and Israel."
s2163,The Rain,87%," Danish, Swedish",,"The world as we know it has come to an end, due to a rain-carried virus that wiped out nearly everybody in Scandinavia. Six years after that event, two Danish siblings emerge from the safety of the bunker where they have been staying. After discovering all remnants of civilization gone, they join a group of fellow young survivors, and together they head out on a danger-filled quest throughout the abandoned land in search of signs of life. The survivors think they have been set free from societal rules of the past, but they quickly find that even in a post-apocalyptic world there is love, jealousy and other coming-of-age dilemmas that young people have always faced.â€¦\xa0MORE"
s2164,Anelka: Misunderstood,83%,,,"Anelka: Misunderstood is a 2020 British-French documentary sports film directed by Ã‰ric Hannezo and features interviews with Nicolas Anelka, Franck Nataf, Omar Sy, ArsÃ¨ne Wenger, Thierry Henry, Didier Drogba, and Emmanuel Petit. Wikipedia"
s2166,World's Most Wanted,88%," English, French",Television documentary,Profiling heinous criminals in the headlines who manage to avoid capture despite massive rewards and worldwide investigations.
